,Datasets,volume,center_x,center_y,MERFISH_cell_type_annotation,Region,Excitatory_vs_Inhibitory,Segment,Gender,Mouse_ID,AP_position,Section_ID,Pmfbp1,Sema7a,Bdnf,Cck,Sema3a,Sema3g,Adcyap1r1,Drd5,Gabrb3,Slc6a3,Pcdhb21,Lhx9,Ntrk3,Mc2r,Gabrp,Pomc,Npsr1,Htr4,Trhr2,Ntf5,Grik1,Adora3,Nrgn,Ntf3,Slc17a7,Chrna6,Spr,Npb,Prox1,Pthlh,Cyp27a1,Sst,Mc5r,Pcdhgb2,Dpy19l1,Kng1,Nmu,Pax6,Hcrtr1,Apela,Pcdha1,Agtr1b,Sstr2,Shox2,Adra1b,Ghrl,Vipr1,Htr3b,Adora2b,Dlk1,Pax2,Dach2,Crhr1,Drd1,Tfap2b,Nms,Calcb,Ctss,Pcdha9,Htr1d,Sema6d,Gabrg3,Poln,Chrnb2,Cdh19,Nr5a2,Pcdhb9,Erbb2,Gpc3,Pmp22,Brs3,Onecut2,Pth1r,Penk,Pcdhb12,Hc,Htr5b,Chrne,Rorb,Pnmt,Fev,Esrrg,Aif1,Ccn2,Tph1,Sema6c,Pcdha7,Npffr2,Pvalb,Met,Sim1,Sema4d,Ghsr,Htr2a,Pcdhgb5,Uts2r,Pcdhb16,Bnc2,Pcdhga11,Plxnb3,P2ry1,Rxfp3,Htr2b,Chrna2,Sstr4,Pcdhb18,Farp2,Rnf220,Pcdhga12,Dbh,Qrfpr,Prkcg,Vgf,Plxna1,C5ar1,Pcdhb19,Gch1,Tyrobp,Notch2,Slc18a3,Plxnd1,P2rx7,Adra2a,Foxp2,Nps,Npy4r,Pcdhga8,Pitx2,Pcdhga9,Pcdhb3,Col23a1,Gabra1,Gabrq,Adamts2,Trem2,Hrh2,Nmur1,P2rx6,Agtr1a,Sema5b,Pcdha11,Pdyn,Fbn2,Dnah12,Calcrl,Nrp1,Gad2,Slc6a4,Pcdhgb4,Pcdhb4,Sema4c,Iapp,Adora2a,Ramp2,Sema3c,Htr1f,Plxnb2,Pdzrn3,Adcyap1,Uts2,Plxnc1,Pcdhb11,Pcdhgc5,Jag2,Ptgds,Mc4r,Gabrg2,Pcdhga10,Dll1,Tnr,Pts,Cckar,Ntrk1,Pcdhga6,Chrna9,Sstr3,Cfap43,Grid1,Tac4,C3ar1,Tac1,Npw,Grik5,Plxnb1,Calb1,Npas4,Fosb,P2rx3,Chrnb1,Grik3,Zfhx3,Chat,Oprm1,Chrm3,Chrm4,Chrng,Chrnb3,Pkd2l1,Hrh1,Chrna7
2656143800003100123,20240328,2962.893066,1843.632112,2498.178084,pericyte,NA,NA,NA,male,M3,1,0328_M3_C,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
2656143800003100150,20240328,3586.738525,1809.912198,2547.374697,DM_ex_Zfhx3,2,excitatory,11,male,M3,1,0328_M3_C,0,3,0,1,0,0,6,0,1,0,1,0,6,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,5,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,1,9,0,0,0,0,0,0,1,0,1
2656143800003100156,20240328,1772.63501,1796.594826,2559.613666,DH_in_Pdyn,1,inhibitory,2,male,M3,1,0328_M3_C,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2656143800005200064,20240328,4467.225098,2417.132769,2558.215866,oligodendrocyte_2,NA,NA,NA,male,M3,1,0328_M3_C,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2656143800027100046,20240328,2048.535156,1779.681243,2644.830997,DH_ex_Reln,1,excitatory,6,male,M3,1,0328_M3_C,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,29,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
2656143800027100179,20240328,1034.102295,1718.820562,2749.929467,DH_ex_Prkcg/Nts,1,excitatory,8,male,M3,1,0328_M3_C,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2656143800027100253,20240328,1964.072632,1667.086067,2813.867497,DH_ex_Prkcg/Nts,1,excitatory,8,male,M3,1,0328_M3_C,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
2656143800027100303,20240328,1692.068481,1682.501215,2845.559265,DH_ex_Prkcg/Nts,1,excitatory,8,male,M3,1,0328_M3_C,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2656143800027100344,20240328,1484.442383,1779.624739,2875.613942,oligodendrocyte_1,NA,NA,NA,male,M3,1,0328_M3_C,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2656143800027200224,20240328,2281.604736,1729.009288,2829.153647,DH_in_Cdh3,1,inhibitory,10,male,M3,1,0328_M3_C,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,1,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,1,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
