"cell_type","nearest_cell_type","correlation","gene","mean_type1","mean_type2","mean_difference","direction","p_value","FDR"
"ependymal","astrocyte_2",0.508146062459219,"Dnah12",1.66490229316217e-14,3.61599655721436e-17,1.66128629660496e-14,"Higher in ependymal",2.90130780571154e-39,4.58406633302423e-37
"ependymal","astrocyte_2",0.508146062459219,"Cfap43",3.96240826501285e-15,1.88433733619608e-17,3.94356489165089e-15,"Higher in ependymal",4.97859809499702e-24,3.93309249504764e-22
"ependymal","astrocyte_2",0.508146062459219,"Htr5b",1.09632638568995e-15,0,1.09632638568995e-15,"Higher in ependymal",3.84406034705239e-10,2.02453844944759e-08
"ependymal","astrocyte_2",0.508146062459219,"P2rx6",3.30996914408112e-15,2.92343618640199e-16,3.01762552544092e-15,"Higher in ependymal",5.97999355915869e-09,2.36209745586768e-07
"ependymal","astrocyte_2",0.508146062459219,"Pitx2",7.28081488718032e-16,1.88433789294053e-17,7.09238109788627e-16,"Higher in ependymal",6.81111150249763e-07,2.15231123478925e-05
"microglia","endothelial",0.577840821889578,"Ctss",7.21137277224498e-15,1.8928883598672e-16,7.02208393625826e-15,"Higher in microglia",6.52060569872095e-54,1.17370902576977e-51
"microglia","endothelial",0.577840821889578,"Trem2",2.67306600380473e-15,6.82864961716617e-17,2.60477950763307e-15,"Higher in microglia",2.59517396859712e-33,2.33565657173741e-31
"microglia","endothelial",0.577840821889578,"Ramp2",1.66794777085137e-16,3.04385867139584e-15,-2.8770638943107e-15,"Higher in endothelial",1.29837480739845e-09,7.7902488443907e-08
"microglia","endothelial",0.577840821889578,"Aif1",8.47536956525272e-16,5.61539123299226e-17,7.91383044195349e-16,"Higher in microglia",7.86357081642500e-09,3.53860686739125e-07
"microglia","endothelial",0.577840821889578,"C3ar1",4.56564658292276e-16,0,4.56564658292276e-16,"Higher in microglia",3.09893434481103e-08,1.11561636413197e-06
"oligodendrocyte_2","pericyte",0.635118742796724,"Adora2a",8.5620848987763e-18,1.71595399116492e-15,-1.70739190626614e-15,"Higher in pericyte",2.50955787294094e-44,4.5422997500231e-42
"oligodendrocyte_2","pericyte",0.635118742796724,"Ramp2",9.47698849240561e-17,2.00356516517565e-15,-1.9087952802516e-15,"Higher in pericyte",4.4232185887258e-18,4.00301282279685e-16
"oligodendrocyte_2","pericyte",0.635118742796724,"Pth1r",5.18488220275808e-17,1.28120657863905e-15,-1.22935775661147e-15,"Higher in pericyte",5.00077042998967e-15,3.01713149276044e-13
"oligodendrocyte_2","pericyte",0.635118742796724,"Rnf220",1.51352432466106e-14,4.26405125380611e-15,1.08711919928045e-14,"Higher in oligodendrocyte_2",2.35831344414948e-12,1.06713683347764e-10
"oligodendrocyte_2","pericyte",0.635118742796724,"Nrp1",8.50315978891084e-17,9.05789674845348e-16,-8.2075807695624e-16,"Higher in pericyte",1.44913401290234e-11,5.24586512670646e-10
"astrocyte_1","astrocyte_2",0.820920148701504,"Col23a1",1.96315558045825e-16,1.66946623438438e-15,-1.47315067633855e-15,"Higher in astrocyte_2",4.87687598855498e-25,9.50990817768221e-23
"astrocyte_1","astrocyte_2",0.820920148701504,"Pvalb",4.09133314034203e-15,7.1649229097337e-16,3.37484084936866e-15,"Higher in astrocyte_1",1.61500367160376e-19,1.57462857981367e-17
"astrocyte_1","astrocyte_2",0.820920148701504,"Sema6d",7.85388291252783e-15,1.33092024784429e-14,-5.45531956591506e-15,"Higher in astrocyte_2",3.6613252763401e-10,2.37986142962106e-08
"astrocyte_1","astrocyte_2",0.820920148701504,"Pdzrn3",1.33524677587739e-16,7.57801589685454e-16,-6.24276912097715e-16,"Higher in astrocyte_2",1.26639788793074e-09,5.87046114112465e-08
"astrocyte_1","astrocyte_2",0.820920148701504,"Mc5r",1.19553046071495e-16,7.15295561021705e-16,-5.9574251495021e-16,"Higher in astrocyte_2",1.50524644644222e-09,5.87046114112465e-08
"astrocyte_2","astrocyte_1",0.820920148701504,"Col23a1",1.66946623438438e-15,1.96315558045825e-16,1.47315067633855e-15,"Higher in astrocyte_2",4.87687598855498e-25,9.50990817768221e-23
"astrocyte_2","astrocyte_1",0.820920148701504,"Pvalb",7.1649229097337e-16,4.09133314034203e-15,-3.37484084936866e-15,"Higher in astrocyte_1",1.61500367160376e-19,1.57462857981367e-17
"astrocyte_2","astrocyte_1",0.820920148701504,"Sema6d",1.33092024784429e-14,7.85388291252783e-15,5.45531956591506e-15,"Higher in astrocyte_2",3.6613252763401e-10,2.37986142962106e-08
"astrocyte_2","astrocyte_1",0.820920148701504,"Pdzrn3",7.57801589685454e-16,1.33524677587739e-16,6.24276912097715e-16,"Higher in astrocyte_2",1.26639788793074e-09,5.87046114112465e-08
"astrocyte_2","astrocyte_1",0.820920148701504,"Mc5r",7.15295561021705e-16,1.19553046071495e-16,5.9574251495021e-16,"Higher in astrocyte_2",1.50524644644222e-09,5.87046114112465e-08
"endothelial","pericyte",0.844330028671954,"Adora2a",0,1.71595399116492e-15,-1.71595399116492e-15,"Higher in pericyte",6.04687567813365e-37,1.08239074638592e-34
"endothelial","pericyte",0.844330028671954,"Pth1r",1.99669582554625e-16,1.28120657863905e-15,-1.08153699608442e-15,"Higher in pericyte",3.03710446379262e-06,0.000271820849509439
"endothelial","pericyte",0.844330028671954,"Pdzrn3",2.34373571650845e-16,8.91840116028154e-16,-6.57466544377309e-16,"Higher in pericyte",0.000389241481071916,0.0232247417039576
"endothelial","pericyte",0.844330028671954,"Sema7a",3.84096640164077e-15,2.35443499248762e-15,1.48653140915316e-15,"Higher in endothelial",0.00433519070151102,0.0825799572282963
"endothelial","pericyte",0.844330028671954,"Notch2",8.61382518445589e-16,1.96994614843552e-15,-1.10856362998993e-15,"Higher in pericyte",0.00325796544754344,0.0825799572282963
"pericyte","endothelial",0.844330028671954,"Adora2a",1.71595399116492e-15,0,1.71595399116492e-15,"Higher in pericyte",6.04687567813365e-37,1.08239074638592e-34
"pericyte","endothelial",0.844330028671954,"Pth1r",1.28120657863905e-15,1.99669582554625e-16,1.08153699608442e-15,"Higher in pericyte",3.03710446379262e-06,0.000271820849509439
"pericyte","endothelial",0.844330028671954,"Pdzrn3",8.91840116028154e-16,2.34373571650845e-16,6.57466544377309e-16,"Higher in pericyte",0.000389241481071916,0.0232247417039576
"pericyte","endothelial",0.844330028671954,"Sema7a",2.35443499248762e-15,3.84096640164077e-15,-1.48653140915316e-15,"Higher in endothelial",0.00433519070151102,0.0825799572282963
"pericyte","endothelial",0.844330028671954,"Notch2",1.96994614843552e-15,8.61382518445589e-16,1.10856362998993e-15,"Higher in pericyte",0.00325796544754344,0.0825799572282963
"Schwann_cell","peripheral_glia",0.844455271569018,"Grik1",0,1.74418669294296e-14,-1.74418669294296e-14,"Higher in peripheral_glia",1.50916677828199e-05,0.00176572513058993
"Schwann_cell","peripheral_glia",0.844455271569018,"Pmp22",5.62336155636745e-14,3.34607775125249e-14,2.27728380511496e-14,"Higher in Schwann_cell",0.00162013244932461,0.0473888741427449
"Schwann_cell","peripheral_glia",0.844455271569018,"Bnc2",1.50746986887335e-16,2.54945386508738e-15,-2.39870687820004e-15,"Higher in peripheral_glia",0.00151579725134356,0.0473888741427449
"Schwann_cell","peripheral_glia",0.844455271569018,"P2ry1",0,2.24214307380641e-15,-2.24214307380641e-15,"Higher in peripheral_glia",0.000827895463427317,0.0473888741427449
"Schwann_cell","peripheral_glia",0.844455271569018,"Sema4c",1.68001630761507e-14,1.06303837465563e-14,6.1697793295944e-15,"Higher in Schwann_cell",0.0032824355520882,0.06400749326572
"peripheral_glia","Schwann_cell",0.844455271569018,"Grik1",1.74418669294296e-14,0,1.74418669294296e-14,"Higher in peripheral_glia",1.50916677828199e-05,0.00176572513058993
"peripheral_glia","Schwann_cell",0.844455271569018,"Pmp22",3.34607775125249e-14,5.62336155636745e-14,-2.27728380511496e-14,"Higher in Schwann_cell",0.00162013244932461,0.0473888741427449
"peripheral_glia","Schwann_cell",0.844455271569018,"Bnc2",2.54945386508738e-15,1.50746986887335e-16,2.39870687820004e-15,"Higher in peripheral_glia",0.00151579725134356,0.0473888741427449
"peripheral_glia","Schwann_cell",0.844455271569018,"P2ry1",2.24214307380641e-15,0,2.24214307380641e-15,"Higher in peripheral_glia",0.000827895463427317,0.0473888741427449
"peripheral_glia","Schwann_cell",0.844455271569018,"Sema4c",1.06303837465563e-14,1.68001630761507e-14,-6.1697793295944e-15,"Higher in Schwann_cell",0.0032824355520882,0.06400749326572
"oligodendrocyte_precursor_cell","oligodendrocyte_progenitor_1",0.92417171723976,"Dll1",6.51200757804238e-17,1.6903951983268e-15,-1.62527512254638e-15,"Higher in oligodendrocyte_progenitor_1",4.77281007629471e-11,8.01832092817511e-09
"oligodendrocyte_precursor_cell","oligodendrocyte_progenitor_1",0.92417171723976,"Tnr",1.33621902416543e-14,2.35440801798559e-14,-1.01818899382016e-14,"Higher in oligodendrocyte_progenitor_1",0.000185410196292733,0.0155744564885896
"oligodendrocyte_precursor_cell","oligodendrocyte_progenitor_1",0.92417171723976,"Sema4c",3.01048818339342e-16,1.12106514023368e-15,-8.2001632189434e-16,"Higher in oligodendrocyte_progenitor_1",0.0067884136685743,0.380151165440161
"oligodendrocyte_precursor_cell","oligodendrocyte_progenitor_1",0.92417171723976,"Adora2b",0,2.19443111207067e-16,-2.19443111207067e-16,"Higher in oligodendrocyte_progenitor_1",0.00922349841728031,0.387386933525773
"oligodendrocyte_precursor_cell","oligodendrocyte_progenitor_1",0.92417171723976,"Pcdhga8",3.08550089282515e-17,3.65071306245177e-16,-3.34216297316925e-16,"Higher in oligodendrocyte_progenitor_1",0.0155947052746684,0.523982097228858
"oligodendrocyte_progenitor_1","oligodendrocyte_precursor_cell",0.92417171723976,"Dll1",1.6903951983268e-15,6.51200757804238e-17,1.62527512254638e-15,"Higher in oligodendrocyte_progenitor_1",4.77281007629471e-11,8.01832092817511e-09
"oligodendrocyte_progenitor_1","oligodendrocyte_precursor_cell",0.92417171723976,"Tnr",2.35440801798559e-14,1.33621902416543e-14,1.01818899382016e-14,"Higher in oligodendrocyte_progenitor_1",0.000185410196292733,0.0155744564885896
"oligodendrocyte_progenitor_1","oligodendrocyte_precursor_cell",0.92417171723976,"Sema4c",1.12106514023368e-15,3.01048818339342e-16,8.2001632189434e-16,"Higher in oligodendrocyte_progenitor_1",0.0067884136685743,0.380151165440161
"oligodendrocyte_progenitor_1","oligodendrocyte_precursor_cell",0.92417171723976,"Adora2b",2.19443111207067e-16,0,2.19443111207067e-16,"Higher in oligodendrocyte_progenitor_1",0.00922349841728031,0.387386933525773
"oligodendrocyte_progenitor_1","oligodendrocyte_precursor_cell",0.92417171723976,"Pcdhga8",3.65071306245177e-16,3.08550089282515e-17,3.34216297316925e-16,"Higher in oligodendrocyte_progenitor_1",0.0155947052746684,0.523982097228858
"oligodendrocyte_1","oligodendrocyte_progenitor_2",0.990498793998731,"Prox1",0,1.25045685901863e-15,-1.25045685901863e-15,"Higher in oligodendrocyte_progenitor_2",1.73537653539123e-21,3.38398424401289e-19
"oligodendrocyte_1","oligodendrocyte_progenitor_2",0.990498793998731,"Pcdhga11",7.97550087091392e-17,1.15274434913454e-15,-1.0729893404254e-15,"Higher in oligodendrocyte_progenitor_2",8.59697260181024e-16,8.38204828676498e-14
"oligodendrocyte_1","oligodendrocyte_progenitor_2",0.990498793998731,"Adamts2",1.32359505916749e-17,8.15134546304582e-16,-8.01898595712907e-16,"Higher in oligodendrocyte_progenitor_2",2.2243344498126e-14,1.44581739237819e-12
"oligodendrocyte_1","oligodendrocyte_progenitor_2",0.990498793998731,"Ptgds",2.10679611732486e-14,3.82332014683139e-14,-1.71652402950653e-14,"Higher in oligodendrocyte_progenitor_2",1.0815631165763e-09,4.21809615464757e-08
"oligodendrocyte_1","oligodendrocyte_progenitor_2",0.990498793998731,"Pkd2l1",1.32380574636306e-17,5.982949368585e-16,-5.8505687939487e-16,"Higher in oligodendrocyte_progenitor_2",9.44374756869872e-10,4.21809615464757e-08
"oligodendrocyte_progenitor_2","oligodendrocyte_1",0.990498793998731,"Prox1",1.25045685901863e-15,0,1.25045685901863e-15,"Higher in oligodendrocyte_progenitor_2",1.73537653539123e-21,3.38398424401289e-19
"oligodendrocyte_progenitor_2","oligodendrocyte_1",0.990498793998731,"Pcdhga11",1.15274434913454e-15,7.97550087091392e-17,1.0729893404254e-15,"Higher in oligodendrocyte_progenitor_2",8.59697260181024e-16,8.38204828676498e-14
"oligodendrocyte_progenitor_2","oligodendrocyte_1",0.990498793998731,"Adamts2",8.15134546304582e-16,1.32359505916749e-17,8.01898595712907e-16,"Higher in oligodendrocyte_progenitor_2",2.2243344498126e-14,1.44581739237819e-12
"oligodendrocyte_progenitor_2","oligodendrocyte_1",0.990498793998731,"Ptgds",3.82332014683139e-14,2.10679611732486e-14,1.71652402950653e-14,"Higher in oligodendrocyte_progenitor_2",1.0815631165763e-09,4.21809615464757e-08
"oligodendrocyte_progenitor_2","oligodendrocyte_1",0.990498793998731,"Pkd2l1",5.982949368585e-16,1.32380574636306e-17,5.8505687939487e-16,"Higher in oligodendrocyte_progenitor_2",9.44374756869872e-10,4.21809615464757e-08
"meninges_1","meninges_2",0.999521941054637,"Rnf220",6.17957932768917e-15,2.92594418388053e-15,3.25363514380864e-15,"Higher in meninges_1",0.001834597520865,0.21281331242034
"meninges_1","meninges_2",0.999521941054637,"Pdzrn3",1.35196607799911e-15,3.49215597818613e-16,1.00275048018049e-15,"Higher in meninges_1",0.00699607399786984,0.40577229187645
"meninges_1","meninges_2",0.999521941054637,"Ptgds",1.62489754898185e-13,1.76671593204764e-13,-1.4181838306579e-14,"Higher in meninges_2",0.33292482183457,0.696733331221182
"meninges_1","meninges_2",0.999521941054637,"Ccn2",4.99534566822952e-15,1.88414687879525e-15,3.11119878943427e-15,"Higher in meninges_1",0.0397317890883859,0.696733331221182
"meninges_1","meninges_2",0.999521941054637,"Sema6d",8.60149075167197e-16,3.45849624666743e-16,5.14299450500454e-16,"Higher in meninges_1",0.0845987615048337,0.696733331221182
"meninges_2","meninges_3",0.999635514896481,"Notch2",5.55900157230694e-15,1.4984597842496e-15,4.06054178805735e-15,"Higher in meninges_2",0.00875016840464325,0.300876560851708
"meninges_2","meninges_3",0.999635514896481,"Ccn2",1.88414687879525e-15,0,1.88414687879525e-15,"Higher in meninges_2",0.00509181933082344,0.300876560851708
"meninges_2","meninges_3",0.999635514896481,"Zfhx3",1.39388218647121e-15,0,1.39388218647121e-15,"Higher in meninges_2",0.0108750564163268,0.300876560851708
"meninges_2","meninges_3",0.999635514896481,"Gpc3",9.64583019683774e-16,0,9.64583019683774e-16,"Higher in meninges_2",0.0318916872878601,0.604054490659464
"meninges_2","meninges_3",0.999635514896481,"Bnc2",1.10972340822169e-15,3.6690272906562e-16,7.42820679156075e-16,"Higher in meninges_2",0.127927786859583,0.604054490659464
"meninges_3","meninges_2",0.999635514896481,"Notch2",1.4984597842496e-15,5.55900157230694e-15,-4.06054178805735e-15,"Higher in meninges_2",0.00875016840464325,0.300876560851708
"meninges_3","meninges_2",0.999635514896481,"Ccn2",0,1.88414687879525e-15,-1.88414687879525e-15,"Higher in meninges_2",0.00509181933082344,0.300876560851708
"meninges_3","meninges_2",0.999635514896481,"Zfhx3",0,1.39388218647121e-15,-1.39388218647121e-15,"Higher in meninges_2",0.0108750564163268,0.300876560851708
"meninges_3","meninges_2",0.999635514896481,"Gpc3",0,9.64583019683774e-16,-9.64583019683774e-16,"Higher in meninges_2",0.0318916872878601,0.604054490659464
"meninges_3","meninges_2",0.999635514896481,"Bnc2",3.6690272906562e-16,1.10972340822169e-15,-7.42820679156075e-16,"Higher in meninges_2",0.127927786859583,0.604054490659464
