MERFISH_cell_type_annotation,cells,correct,accuracy
DH_ex_Maf/Cpne4,6,0,0.0
DH_ex_Maf/Slc17a8,17,2,0.11764705882352941
DH_in_Kcnip2,8,1,0.125
meninges_2,42,7,0.16666666666666666
peripheral_glia,23,5,0.21739130434782608
DH_ex_Rreb1,9,2,0.2222222222222222
DH_in_Klhl14,21,5,0.23809523809523808
oligodendrocyte_1,271,79,0.2915129151291513
DH_ex_Maf/Cck,64,21,0.328125
DH_ex_Gpr83,33,11,0.3333333333333333
DH_ex_Prkcg/Rxfp1,30,11,0.36666666666666664
oligodendrocyte_precursor_cell,110,44,0.4
meninges_1,67,27,0.40298507462686567
oligodendrocyte_progenitor_2,703,291,0.4139402560455192
DH_ex_Prkcg/Nts,52,25,0.4807692307692308
pericyte,40,20,0.5
DH_ex_Prkcg/Cck,33,17,0.5151515151515151
astrocyte_2,196,103,0.5255102040816326
astrocyte_1,573,328,0.5724258289703316
DH_ex_Grp,26,15,0.5769230769230769
endothelial,323,204,0.631578947368421
beta_motoneuron,14,9,0.6428571428571429
DH_ex_Grpr,31,20,0.6451612903225806
DH_ex_Tac2,32,21,0.65625
alpha_motoneuron,107,71,0.6635514018691588
MV_in_Chrna2,22,16,0.7272727272727273
gamma_motoneuron,48,36,0.75
oligodendrocyte_progenitor_1,49,37,0.7551020408163265
DH_ex_Cpne4,26,20,0.7692307692307693
DH_in_Npy2r,38,30,0.7894736842105263
meninges_3,19,16,0.8421052631578947
DH_ex_Reln,33,28,0.8484848484848485
oligodendrocyte_2,419,356,0.8496420047732697
DH_in_Cdh3,124,106,0.8548387096774194
MV_in_Gm26673,110,95,0.8636363636363636
DH_ex_Reln/Nmur2,67,61,0.9104477611940298
M_ex_Vsx2/Shox2,23,21,0.9130434782608695
microglia,64,59,0.921875
M_ex_Vsx2,26,24,0.9230769230769231
Schwann_cell,49,47,0.9591836734693877
DH_in_Npy,54,52,0.9629629629629629
DH_ex_Nmu/Tac2,64,62,0.96875
DH_ex_Sox5,48,47,0.9791666666666666
DH_ex_Reln/Npff,36,36,1.0
DH_ex_Sox5/Tac1,34,34,1.0
MV_ex_Shox2,42,42,1.0
cholinergic_interneuron,7,7,1.0
MV_ex_Syt2,113,113,1.0
DH_in_Pdyn,59,59,1.0
DH_in_Pdyn/Gal,26,26,1.0
DH_in_Rorb,29,29,1.0
DM_ex_Zfhx3,133,133,1.0
VH_in_Chat,3,3,1.0
M_in_Tfap2b,73,73,1.0
M_ex_Neurod2,11,11,1.0
MV_in_Sema5b,94,94,1.0
MV_in_Gabra1,145,145,1.0
MV_in_Esrrb,63,63,1.0
ependymal,10,10,1.0
visceral_motoneuron,8,8,1.0
