_section,cells,correct,accuracy
__NA__,2958,1633,0.5520622041920217
10,236,131,0.5550847457627118
6,89,54,0.6067415730337079
9,46,31,0.6739130434782609
22,169,116,0.6863905325443787
8,181,125,0.6906077348066298
2,123,90,0.7317073170731707
19,132,111,0.8409090909090909
3,93,81,0.8709677419354839
20,57,53,0.9298245614035088
4,59,57,0.9661016949152542
5,108,107,0.9907407407407407
16,145,145,1.0
17,3,3,1.0
18,42,42,1.0
14,176,176,1.0
21,7,7,1.0
13,11,11,1.0
12,73,73,1.0
7,29,29,1.0
11,133,133,1.0
15,94,94,1.0
1,36,36,1.0
