model,number_of_genes,accuracy,accuracy_sd,balanced_accuracy,balanced_accuracy_sd,macro_f1,macro_f1_sd,section,ei_group
LogisticRegression,10,0.47736842105263155,0.1335598260960773,0.3490384615384616,0.21355488064662614,0.33799206349206345,0.19229131444106728,10,excitatory
LogisticRegression,3,0.38526315789473686,0.1173294719418339,0.34775641025641024,0.14459356081919678,0.2838085827216262,0.11749229650693514,10,excitatory
LogisticRegression,2,0.3852631578947368,0.1074715706787387,0.3471153846153846,0.14104603582131367,0.2907685551163812,0.10999491190709391,10,excitatory
RandomForest,40,0.49947368421052624,0.0877606919877672,0.3266025641025641,0.10182223684365238,0.29126961926961925,0.07908715337012233,10,excitatory
LogisticRegression,1,0.34368421052631576,0.07812909269058319,0.3022435897435897,0.16010762323845296,0.2513214442562269,0.11239437107606223,10,excitatory
LogisticRegression,5,0.3957894736842106,0.10261943247961215,0.3006410256410256,0.13905085887678695,0.2651460172169554,0.11344901105492883,10,excitatory
ExtraTrees,40,0.5836842105263157,0.13574866787937526,0.2983974358974359,0.11479729440809486,0.2665156905674147,0.09862006263638264,10,excitatory
ExtraTrees,3,0.3131578947368421,0.06023959548557682,0.27403846153846156,0.17914344374977076,0.21798404210168912,0.11797645908052841,10,excitatory
LogisticRegression,20,0.4989473684210527,0.10153394148873679,0.27307692307692305,0.06613446346937912,0.26429559570863914,0.06079500276067407,10,excitatory
ExtraTrees,10,0.4052631578947368,0.08421052631578947,0.24967948717948718,0.13723189748875048,0.2226262939958592,0.08195996020152715,10,excitatory
RandomForest,3,0.2926315789473684,0.0660395248057184,0.2451923076923077,0.10928500218615127,0.17313877001089278,0.046447125778020196,10,excitatory
RandomForest,10,0.3326315789473684,0.047356723701903136,0.2435897435897436,0.13022448124722102,0.2030844155844156,0.06600813398639566,10,excitatory
RandomForest,20,0.42526315789473684,0.09569110044095588,0.24038461538461542,0.09839273771461482,0.25185769303160604,0.11271433315786573,10,excitatory
RandomForest,1,0.3026315789473684,0.07158668688808129,0.2326923076923077,0.09277946570803111,0.19542568542568542,0.06605487226082066,10,excitatory
ExtraTrees,2,0.3026315789473684,0.05393131982083999,0.23237179487179488,0.13456195520878886,0.17985067392188134,0.06835195210234402,10,excitatory
ExtraTrees,20,0.5,0.040768245749551776,0.23044871794871796,0.04343392209355109,0.20466957180750284,0.030720046949735028,10,excitatory
RandomForest,5,0.28368421052631576,0.12814897839943926,0.22403846153846155,0.1900032872825422,0.18306854256854257,0.13434913930132653,10,excitatory
ExtraTrees,5,0.37631578947368416,0.10513149660756935,0.21185897435897436,0.1443532243697047,0.1963143338143338,0.1090572472514096,10,excitatory
ExtraTrees,1,0.30210526315789477,0.039046814717876646,0.19839743589743591,0.05975995704050694,0.180291638186375,0.0448410247366801,10,excitatory
RandomForest,2,0.25052631578947365,0.041788280507956216,0.18333333333333335,0.08111950908044054,0.14914276895835651,0.03776029405749235,10,excitatory
LogisticRegression,40,0.42631578947368426,0.09761703679469161,0.18205128205128204,0.060087392523743545,0.1843502415458937,0.0556159870860623,10,excitatory
LogisticRegression,40,0.7642857142857143,0.058028845747399686,0.5279710144927535,0.10879214316198857,0.5280606214116853,0.10861291957231413,10,inhibitory
LogisticRegression,1,0.6214285714285714,0.06624013211068362,0.5218840579710144,0.08439473706702615,0.49216821371103847,0.06541476409431243,10,inhibitory
