section,ei_group,n_cells,n_cell_types,cell_types,route_type,best_model,number_of_genes,inner_accuracy,inner_balanced_accuracy,inner_macro_f1,total_outer_folds,folds_with_model,most_common_cv_model,model_wins,model_stability,model_stability_when_modeled,most_common_cv_configuration,configuration_wins,configuration_stability,configuration_stability_when_modeled,final_configuration,final_model_matches_cv_mode,final_configuration_matches_cv_mode
1,ALL,36,1,DH_ex_Reln/Npff,direct_section,,,,,,,,,,,,,,,,,False,False
10,excitatory,96,4,DH_ex_Maf/Cck | DH_ex_Maf/Cpne4 | DH_ex_Maf/Slc17a8 | DH_ex_Rreb1,subgroup_model,LogisticRegression,10.0,0.47736842105263155,0.3490384615384616,0.33799206349206345,3.0,3.0,ExtraTrees,1.0,0.3333333333333333,0.3333333333333333,ExtraTrees + 2 genes,1.0,0.3333333333333333,0.3333333333333333,LogisticRegression + 10 genes,False,False
10,inhibitory,140,2,DH_in_Cdh3 | DH_in_Klhl14,subgroup_model,LogisticRegression,40.0,0.7642857142857143,0.5279710144927535,0.5280606214116853,3.0,3.0,ExtraTrees,2.0,0.6666666666666666,0.6666666666666666,ExtraTrees + 40 genes,2.0,0.6666666666666666,0.6666666666666666,LogisticRegression + 40 genes,False,False
11,ALL,133,1,DM_ex_Zfhx3,direct_section,,,,,,,,,,,,,,,,,False,False
12,ALL,73,1,M_in_Tfap2b,direct_section,,,,,,,,,,,,,,,,,False,False
13,ALL,11,1,M_ex_Neurod2,direct_section,,,,,,,,,,,,,,,,,False,False
14,excitatory,113,1,MV_ex_Syt2,direct_section_EI,,,,,,,,,,,,,,,,,False,False
14,inhibitory,63,1,MV_in_Esrrb,direct_section_EI,,,,,,,,,,,,,,,,,False,False
15,ALL,94,1,MV_in_Sema5b,direct_section,,,,,,,,,,,,,,,,,False,False
16,ALL,145,1,MV_in_Gabra1,direct_section,,,,,,,,,,,,,,,,,False,False
17,ALL,3,1,VH_in_Chat,direct_section,,,,,,,,,,,,,,,,,False,False
18,ALL,42,1,MV_ex_Shox2,direct_section,,,,,,,,,,,,,,,,,False,False
