model,number_of_genes,accuracy,accuracy_sd,balanced_accuracy,balanced_accuracy_sd,macro_f1,macro_f1_sd,section,ei_group,outer_fold
ExtraTrees,2,0.421875,0.08118988160479113,0.3248106060606061,0.08811907945972948,0.2702865117338802,0.06067465994722883,10,excitatory,1
LogisticRegression,10,0.40625,0.06987712429686843,0.3200757575757575,0.10881501835017594,0.24979748278896888,0.05558851755448514,10,excitatory,1
LogisticRegression,2,0.453125,0.1616262567623219,0.31079545454545454,0.13859741856530383,0.29363553113553115,0.12872714436745378,10,excitatory,1
LogisticRegression,3,0.453125,0.15546678704790937,0.2956439393939394,0.1519976927821969,0.29228647599390634,0.13044412146070564,10,excitatory,1
LogisticRegression,40,0.5,0.11692679333668567,0.2839015151515152,0.07123906445488817,0.25064223057644114,0.06729277183431719,10,excitatory,1
RandomForest,20,0.40625,0.06987712429686843,0.2799242424242424,0.15155444566227674,0.22433381247235737,0.08844723849768596,10,excitatory,1
ExtraTrees,5,0.46875,0.09375,0.2767045454545455,0.1165477736871165,0.26208728342595616,0.08121521666026639,10,excitatory,1
LogisticRegression,1,0.359375,0.120017902310447,0.2609848484848485,0.10558130334562846,0.24076157652976538,0.10807155897245951,10,excitatory,1
ExtraTrees,20,0.515625,0.05182226234930312,0.24943181818181817,0.107929123801052,0.19885128458498025,0.04536524802580146,10,excitatory,1
ExtraTrees,3,0.390625,0.06810779599282303,0.24147727272727273,0.10755091342438969,0.22789834434571277,0.08371232798539138,10,excitatory,1
RandomForest,1,0.34375,0.06987712429686843,0.24053030303030304,0.0967764112957668,0.22368682121971595,0.06893081624779582,10,excitatory,1
RandomForest,2,0.34375,0.11267347735824966,0.2399621212121212,0.12409379390401147,0.23878849586086426,0.11765397015756952,10,excitatory,1
ExtraTrees,10,0.4375,0.04419417382415922,0.23503787878787877,0.09867460594361004,0.19111201298701297,0.036722622298674776,10,excitatory,1
ExtraTrees,1,0.3125,0.04419417382415922,0.22859848484848486,0.07194651739960767,0.2030519005847953,0.02711418694417528,10,excitatory,1
RandomForest,10,0.375,0.11692679333668567,0.22575757575757577,0.13403311543442484,0.19442855326722602,0.07672404032006741,10,excitatory,1
LogisticRegression,20,0.4375,0.07654655446197431,0.21893939393939393,0.03513142712326346,0.22708993017496854,0.05024601269471049,10,excitatory,1
LogisticRegression,5,0.421875,0.16755945773068137,0.21856060606060607,0.1421878074573614,0.2253237259816207,0.12031165239053074,10,excitatory,1
ExtraTrees,40,0.5625,0.04419417382415922,0.2096590909090909,0.01834972188858539,0.18953804347826086,0.015148424094496897,10,excitatory,1
RandomForest,5,0.34375,0.03125,0.19772727272727272,0.10330011462857781,0.1899393090569561,0.06551567387058059,10,excitatory,1
