section,ei_group,n_cells,n_cell_types,cell_types,route_type,best_model,number_of_genes,inner_accuracy,inner_balanced_accuracy,inner_macro_f1,outer_fold
1,ALL,24,1,DH_ex_Reln/Npff,direct_section,,,,,,1
10,excitatory,64,4,DH_ex_Maf/Cck | DH_ex_Maf/Cpne4 | DH_ex_Maf/Slc17a8 | DH_ex_Rreb1,subgroup_model,ExtraTrees,2.0,0.421875,0.3248106060606061,0.2702865117338802,1
10,inhibitory,94,2,DH_in_Cdh3 | DH_in_Klhl14,subgroup_model,RandomForest,10.0,0.8198830409356723,0.5791666666666666,0.5813795518207283,1
11,ALL,89,1,DM_ex_Zfhx3,direct_section,,,,,,1
12,ALL,49,1,M_in_Tfap2b,direct_section,,,,,,1
13,ALL,8,1,M_ex_Neurod2,direct_section,,,,,,1
14,excitatory,76,1,MV_ex_Syt2,direct_section_EI,,,,,,1
14,inhibitory,42,1,MV_in_Esrrb,direct_section_EI,,,,,,1
15,ALL,62,1,MV_in_Sema5b,direct_section,,,,,,1
16,ALL,97,1,MV_in_Gabra1,direct_section,,,,,,1
17,ALL,2,1,VH_in_Chat,direct_section,,,,,,1
18,ALL,28,1,MV_ex_Shox2,direct_section,,,,,,1
19,inhibitory,88,2,MV_in_Chrna2 | MV_in_Gm26673,subgroup_model,LogisticRegression,20.0,0.9555555555555555,0.9466666666666667,0.9268973462577467,1
2,excitatory,43,2,DH_ex_Gpr83 | DH_ex_Grpr,subgroup_model,RandomForest,2.0,0.7222222222222222,0.73,0.72,1
2,inhibitory,39,1,DH_in_Pdyn,direct_section_EI,,,,,,1
20,__NA__,5,1,visceral_motoneuron,direct_section_EI,,,,,,1
20,excitatory,32,2,M_ex_Vsx2 | M_ex_Vsx2/Shox2,subgroup_model,ExtraTrees,2.0,0.9666666666666668,0.9666666666666666,0.9657142857142856,1
21,ALL,4,1,cholinergic_interneuron,direct_section,,,,,,1
22,__NA__,112,3,alpha_motoneuron | beta_motoneuron | gamma_motoneuron,subgroup_model,LogisticRegression,40.0,0.7592885375494072,0.7368253968253968,0.7068658289347944,1
3,excitatory,63,2,DH_ex_Cpne4 | DH_ex_Reln/Nmur2,subgroup_model,RandomForest,40.0,0.9217948717948719,0.8805555555555555,0.894861172539191,1
4,inhibitory,39,2,DH_in_Cdh3 | DH_in_Npy,subgroup_model,LogisticRegression,1.0,0.9743589743589745,0.986111111111111,0.9371980676328503,1
5,excitatory,55,2,DH_ex_Sox5 | DH_ex_Sox5/Tac1,subgroup_model,LogisticRegression,1.0,0.9818181818181818,0.9857142857142858,0.9811965811965813,1
5,inhibitory,17,1,DH_in_Pdyn/Gal,direct_section_EI,,,,,,1
6,excitatory,59,3,DH_ex_Grp | DH_ex_Prkcg/Rxfp1 | DH_ex_Reln,subgroup_model,ExtraTrees,40.0,0.6606060606060605,0.6422222222222221,0.6267436267436267,1
7,ALL,20,1,DH_in_Rorb,direct_section,,,,,,1
8,excitatory,120,4,DH_ex_Nmu/Tac2 | DH_ex_Prkcg/Cck | DH_ex_Prkcg/Nts | DH_ex_Tac2,subgroup_model,LogisticRegression,5.0,0.6916666666666667,0.6620833333333331,0.6480602455679854,1
9,inhibitory,30,2,DH_in_Kcnip2 | DH_in_Npy2r,subgroup_model,RandomForest,40.0,0.8333333333333334,0.74,0.6623737373737374,1
__NA__,__NA__,1972,16,Schwann_cell | astrocyte_1 | astrocyte_2 | endothelial | ependymal | meninges_1 | meninges_2 | meninges_3 | microglia | oligodendrocyte_1 | oligodendrocyte_2 | oligodendrocyte_precursor_cell | oligodendrocyte_progenitor_1 | oligodendrocyte_progenitor_2 | pericyte | peripheral_glia,subgroup_model,ExtraTrees,40.0,0.5644104607080898,0.6236635631570697,0.4903965583687377,1
1,ALL,24,1,DH_ex_Reln/Npff,direct_section,,,,,,2
10,excitatory,64,4,DH_ex_Maf/Cck | DH_ex_Maf/Cpne4 | DH_ex_Maf/Slc17a8 | DH_ex_Rreb1,subgroup_model,RandomForest,2.0,0.375,0.35113636363636364,0.3076371996166888,2
10,inhibitory,94,2,DH_in_Cdh3 | DH_in_Klhl14,subgroup_model,ExtraTrees,40.0,0.808187134502924,0.5833333333333333,0.5673376623376624,2
11,ALL,88,1,DM_ex_Zfhx3,direct_section,,,,,,2
12,ALL,49,1,M_in_Tfap2b,direct_section,,,,,,2
13,ALL,7,1,M_ex_Neurod2,direct_section,,,,,,2
14,excitatory,75,1,MV_ex_Syt2,direct_section_EI,,,,,,2
14,inhibitory,42,1,MV_in_Esrrb,direct_section_EI,,,,,,2
15,ALL,63,1,MV_in_Sema5b,direct_section,,,,,,2
16,ALL,96,1,MV_in_Gabra1,direct_section,,,,,,2
17,ALL,2,1,VH_in_Chat,direct_section,,,,,,2
18,ALL,28,1,MV_ex_Shox2,direct_section,,,,,,2
19,inhibitory,87,2,MV_in_Chrna2 | MV_in_Gm26673,subgroup_model,LogisticRegression,1.0,0.838562091503268,0.8776190476190477,0.7788024926930474,2
2,excitatory,43,2,DH_ex_Gpr83 | DH_ex_Grpr,subgroup_model,RandomForest,3.0,0.763888888888889,0.77,0.7604329004329005,2
2,inhibitory,40,1,DH_in_Pdyn,direct_section_EI,,,,,,2
20,__NA__,5,1,visceral_motoneuron,direct_section_EI,,,,,,2
20,excitatory,34,2,M_ex_Vsx2 | M_ex_Vsx2/Shox2,subgroup_model,LogisticRegression,5.0,0.9428571428571428,0.95,0.9428571428571428,2
21,ALL,5,1,cholinergic_interneuron,direct_section,,,,,,2
22,__NA__,112,3,alpha_motoneuron | beta_motoneuron | gamma_motoneuron,subgroup_model,LogisticRegression,5.0,0.7233201581027668,0.7761904761904762,0.6931981166981167,2
3,excitatory,62,2,DH_ex_Cpne4 | DH_ex_Reln/Nmur2,subgroup_model,LogisticRegression,40.0,0.8576923076923076,0.8,0.8042763772175536,2
4,inhibitory,39,2,DH_in_Cdh3 | DH_in_Npy,subgroup_model,LogisticRegression,1.0,0.9743589743589745,0.986111111111111,0.9371980676328503,2
5,excitatory,55,2,DH_ex_Sox5 | DH_ex_Sox5/Tac1,subgroup_model,LogisticRegression,1.0,0.9818181818181818,0.9833333333333334,0.9818181818181818,2
5,inhibitory,18,1,DH_in_Pdyn/Gal,direct_section_EI,,,,,,2
6,excitatory,60,3,DH_ex_Grp | DH_ex_Prkcg/Rxfp1 | DH_ex_Reln,subgroup_model,LogisticRegression,5.0,0.7166666666666667,0.7122222222222222,0.7087301587301587,2
7,ALL,19,1,DH_in_Rorb,direct_section,,,,,,2
8,excitatory,120,4,DH_ex_Nmu/Tac2 | DH_ex_Prkcg/Cck | DH_ex_Prkcg/Nts | DH_ex_Tac2,subgroup_model,RandomForest,5.0,0.6916666666666667,0.6501785714285714,0.6389178490068582,2
9,inhibitory,31,2,DH_in_Kcnip2 | DH_in_Npy2r,subgroup_model,RandomForest,40.0,0.7761904761904762,0.6399999999999999,0.5653535353535353,2
__NA__,__NA__,1971,16,Schwann_cell | astrocyte_1 | astrocyte_2 | endothelial | ependymal | meninges_1 | meninges_2 | meninges_3 | microglia | oligodendrocyte_1 | oligodendrocyte_2 | oligodendrocyte_precursor_cell | oligodendrocyte_progenitor_1 | oligodendrocyte_progenitor_2 | pericyte | peripheral_glia,subgroup_model,ExtraTrees,40.0,0.5164891087836535,0.5734493211692441,0.4553629111043275,2
1,ALL,24,1,DH_ex_Reln/Npff,direct_section,,,,,,3
