,Predicted_DH_ex_Cpne4,Predicted_DH_ex_Gpr83,Predicted_DH_ex_Grp,Predicted_DH_ex_Grpr,Predicted_DH_ex_Maf/Cck,Predicted_DH_ex_Maf/Cpne4,Predicted_DH_ex_Maf/Slc17a8,Predicted_DH_ex_Nmu/Tac2,Predicted_DH_ex_Prkcg/Cck,Predicted_DH_ex_Prkcg/Nts,Predicted_DH_ex_Prkcg/Rxfp1,Predicted_DH_ex_Reln,Predicted_DH_ex_Reln/Nmur2,Predicted_DH_ex_Reln/Npff,Predicted_DH_ex_Rreb1,Predicted_DH_ex_Sox5,Predicted_DH_ex_Sox5/Tac1,Predicted_DH_ex_Tac2,Predicted_DH_in_Cdh3,Predicted_DH_in_Kcnip2,Predicted_DH_in_Klhl14,Predicted_DH_in_Npy,Predicted_DH_in_Npy2r,Predicted_DH_in_Pdyn,Predicted_DH_in_Pdyn/Gal,Predicted_DH_in_Rorb,Predicted_DM_ex_Zfhx3,Predicted_MV_ex_Shox2,Predicted_MV_ex_Syt2,Predicted_MV_in_Chrna2,Predicted_MV_in_Esrrb,Predicted_MV_in_Gabra1,Predicted_MV_in_Gm26673,Predicted_MV_in_Sema5b,Predicted_M_ex_Neurod2,Predicted_M_ex_Vsx2,Predicted_M_ex_Vsx2/Shox2,Predicted_M_in_Tfap2b,Predicted_Schwann_cell,Predicted_VH_in_Chat,Predicted_alpha_motoneuron,Predicted_astrocyte_1,Predicted_astrocyte_2,Predicted_beta_motoneuron,Predicted_cholinergic_interneuron,Predicted_endothelial,Predicted_ependymal,Predicted_gamma_motoneuron,Predicted_meninges_1,Predicted_meninges_2,Predicted_meninges_3,Predicted_microglia,Predicted_oligodendrocyte_1,Predicted_oligodendrocyte_2,Predicted_oligodendrocyte_precursor_cell,Predicted_oligodendrocyte_progenitor_1,Predicted_oligodendrocyte_progenitor_2,Predicted_pericyte,Predicted_peripheral_glia,Predicted_visceral_motoneuron
Actual_DH_ex_Cpne4,20,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actual_DH_ex_Gpr83,0,11,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actual_DH_ex_Grp,0,0,15,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actual_DH_ex_Grpr,0,11,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actual_DH_ex_Maf/Cck,0,0,0,0,21,5,22,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actual_DH_ex_Maf/Cpne4,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actual_DH_ex_Maf/Slc17a8,0,0,0,0,8,3,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actual_DH_ex_Nmu/Tac2,0,0,0,0,0,0,0,62,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actual_DH_ex_Prkcg/Cck,0,0,0,0,0,0,0,1,17,11,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actual_DH_ex_Prkcg/Nts,0,0,0,0,0,0,0,4,12,25,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
