fold,method,accuracy,balanced_accuracy,macro_f1
1,normal,0.6708860759493671,0.29345238095238096,0.2941468253968254
1,soft_frequency,0.6582278481012658,0.285515873015873,0.28494375096316843
1,exact_frequency,0.5189873417721519,0.2517857142857143,0.25246526729084867
2,normal,0.6075949367088608,0.241468253968254,0.21577380952380953
2,soft_frequency,0.6075949367088608,0.23769841269841266,0.21190230478156172
2,exact_frequency,0.5189873417721519,0.34682539682539687,0.3476895197825431
3,normal,0.6410256410256411,0.2827450327450327,0.27517990608763304
3,soft_frequency,0.6025641025641025,0.2371794871794872,0.21649122807017543
3,exact_frequency,0.5897435897435898,0.3433066933066933,0.3398887933771655
4,normal,0.6075949367088608,0.2490079365079365,0.22677865612648218
4,soft_frequency,0.6455696202531646,0.2652777777777778,0.23632019115890082
4,exact_frequency,0.5063291139240507,0.22023809523809523,0.21857696566998894
5,normal,0.6582278481012658,0.2853174603174603,0.2702736585715309
5,soft_frequency,0.620253164556962,0.24186507936507937,0.2141829567572142
5,exact_frequency,0.5443037974683544,0.3430555555555555,0.3435505386086781
6,normal,0.6282051282051282,0.24902874902874902,0.22371031746031744
6,soft_frequency,0.6153846153846154,0.23815073815073814,0.21313183949973946
6,exact_frequency,0.5128205128205128,0.2268009768009768,0.22873896129710083
7,normal,0.6075949367088608,0.2490079365079365,0.22259832366215346
7,soft_frequency,0.6075949367088608,0.24523809523809526,0.21999999999999997
7,exact_frequency,0.5822784810126582,0.40257936507936504,0.40541503070572843
8,normal,0.5822784810126582,0.260515873015873,0.261521424312122
8,soft_frequency,0.5822784810126582,0.22182539682539681,0.19378860963019381
8,exact_frequency,0.5063291139240507,0.22797619047619047,0.22865574348132486
9,normal,0.6538461538461539,0.3127761127761128,0.3146132741050431
9,soft_frequency,0.6153846153846154,0.24475524475524477,0.22127231581594167
9,exact_frequency,0.5897435897435898,0.30764235764235764,0.3069023999256557
10,normal,0.5822784810126582,0.2331349206349206,0.21274961597542244
10,soft_frequency,0.6075949367088608,0.2339285714285714,0.20766023970818134
10,exact_frequency,0.5443037974683544,0.28750000000000003,0.2905202355783751
11,normal,0.6962025316455697,0.30932539682539684,0.2962436087745341
11,soft_frequency,0.6455696202531646,0.25396825396825395,0.2298180533474651
11,exact_frequency,0.5949367088607594,0.31567460317460316,0.3208509513742072
12,normal,0.6923076923076923,0.3093628593628594,0.29550883898709984
12,soft_frequency,0.6794871794871795,0.276029526029526,0.24696969696969698
12,exact_frequency,0.5897435897435898,0.2914085914085914,0.29084481410062807
13,normal,0.5316455696202531,0.20138888888888887,0.1813568376068376
13,soft_frequency,0.569620253164557,0.21765873015873016,0.1961862852951962
13,exact_frequency,0.46835443037974683,0.18055555555555555,0.17926356589147288
14,normal,0.5822784810126582,0.24067460317460318,0.21065759637188208
14,soft_frequency,0.5949367088607594,0.24107142857142858,0.21243686868686865
14,exact_frequency,0.5189873417721519,0.31507936507936507,0.3155743481324877
15,normal,0.6282051282051282,0.27808857808857806,0.271889400921659
15,soft_frequency,0.5897435897435898,0.22630147630147632,0.20105957964217472
15,exact_frequency,0.5769230769230769,0.29665889665889666,0.29306481632063025
