gene,F_score,p_value,MV_in_Esrrb_mean,MV_ex_Syt2_mean,mean_difference
Adcyap1r1,33.397526911043016,3.3996210571257995e-08,1.1428571428571428,3.6371681415929205,-2.4943109987357777
Tnr,32.491184635914365,5.030582236415238e-08,0.5714285714285714,2.0973451327433628,-1.5259165613147914
Grik5,31.873890488243813,6.57704328948191e-08,1.1111111111111112,3.061946902654867,-1.950835791543756
Pax2,24.719753572907724,1.5795618594982077e-06,0.8888888888888888,0.17699115044247787,0.7118977384464109
P2rx6,24.24013694718684,1.9646207298173393e-06,0.1111111111111111,0.8141592920353983,-0.7030481809242872
Sema5b,24.182976359202158,2.0164599395558448e-06,0.3333333333333333,1.0973451327433628,-0.7640117994100295
Chrnb2,23.63865526754427,2.585293300599189e-06,0.7619047619047619,2.5486725663716814,-1.7867678044669195
Sema7a,23.250170665123232,3.0886464802809494e-06,1.4444444444444444,4.982300884955753,-3.537856440511308
Rnf220,22.652939453732735,4.063759163005167e-06,3.9206349206349205,7.823008849557522,-3.9023739289226014
Ntrk3,20.172512089856607,1.2853847727843964e-05,1.619047619047619,4.106194690265487,-2.487147071217868
Grid1,20.150721268491477,1.298569237437723e-05,1.3650793650793651,2.849557522123894,-1.4844781570445287
Plxna1,18.07615931373514,3.4565713729559434e-05,0.6349206349206349,1.9646017699115044,-1.3296811349908695
Chrna7,17.62872292560833,4.277772265487753e-05,0.2698412698412698,1.3097345132743363,-1.0398932434330665
Sema6d,15.928982136669747,9.680065322206668e-05,0.8571428571428571,2.424778761061947,-1.56763590391909
Jag2,13.62415834787981,0.00029851705568356116,0.1746031746031746,0.672566371681416,-0.4979631970782414
Crhr1,11.19124248893897,0.0010067505181870337,0.15873015873015872,0.6194690265486725,-0.4607388678185138
Adra1b,10.012678249168232,0.0018352901999996003,0.031746031746031744,0.21238938053097345,-0.1806433487849417
Gabra1,9.95646986843803,0.0018890087546566574,0.2857142857142857,1.2300884955752212,-0.9443742098609355
Spr,9.450345017175795,0.0024516250159660486,0.1746031746031746,0.6814159292035398,-0.5068127546003651
Pdzrn3,9.077213969441303,0.0029744294411431,0.047619047619047616,0.2831858407079646,-0.23556679308891698
Sema6c,7.969104099847615,0.005312910304730996,0.047619047619047616,0.2743362831858407,-0.22671723556679307
