gene,F_score,p_value,MV_in_Gm26673_mean,MV_in_Chrna2_mean,mean_difference
Esrrg,34.02367072775303,4.086091396792565e-08,6.1454545454545455,0.5,5.6454545454545455
Pvalb,29.514944376059507,2.638042034196139e-07,14.045454545454545,1.6818181818181819,12.363636363636363
Chrna2,21.81161678489005,7.398360578781807e-06,0.07272727272727272,0.9545454545454546,-0.8818181818181818
Pmfbp1,14.250742459381486,0.00024228429850241726,0.09090909090909091,0.45454545454545453,-0.36363636363636365
Chrnb2,13.63501226565372,0.0003256166110005519,1.7636363636363637,0.3181818181818182,1.4454545454545455
Sema7a,13.195593781158003,0.0004025847174487672,3.6636363636363636,1.0,2.6636363636363636
Rnf220,12.466320507067536,0.0005738628392483587,6.863636363636363,3.1363636363636362,3.727272727272727
Grid1,10.262577436363573,0.00170761869883658,2.5636363636363635,0.7727272727272727,1.7909090909090908
Adcyap1r1,10.23369760996015,0.0017325577825134935,2.5,0.5909090909090909,1.9090909090909092
Grik5,9.006005777579585,0.0032269164654780435,1.6545454545454545,0.45454545454545453,1.2
Plxna1,8.906166582519221,0.00339602955475232,1.4545454545454546,0.3181818181818182,1.1363636363636365
P2rx6,7.48531754645991,0.007090331805515821,0.8818181818181818,0.13636363636363635,0.7454545454545455
Tnr,6.7113656637710255,0.010673689646761277,1.1363636363636365,0.3181818181818182,0.8181818181818183
Onecut2,6.127725668242669,0.014594311580122688,0.39090909090909093,0.8181818181818182,-0.4272727272727273
Pax2,5.382966499326335,0.021892300132627177,2.109090909090909,0.7272727272727273,1.3818181818181816
Sstr2,5.148514851485149,0.024913930159718108,0.02727272727272727,0.13636363636363635,-0.10909090909090909
Dlk1,5.133913554213534,0.025116056292750884,0.7363636363636363,1.5454545454545454,-0.8090909090909091
Dpy19l1,4.959420372101119,0.02766962697937471,0.33636363636363636,0.045454545454545456,0.2909090909090909
Pcdhb16,4.637327635991045,0.033129150549313494,0.42727272727272725,0.045454545454545456,0.3818181818181818
Hrh2,4.543633831220596,0.0349229231888343,0.22727272727272727,0.0,0.22727272727272727
