gene,F_score,p_value,DH_in_Npy_mean,DH_in_Cdh3_mean,mean_difference
Chrm3,125.59322033898306,4.900010197722922e-16,0.037037037037037035,1.0,-0.962962962962963
Sema4c,19.57907012906235,4.4077864076539424e-05,0.14814814814814814,1.2,-1.0518518518518518
Pcdhb19,7.672923378624459,0.007553443657404765,0.05555555555555555,0.4,-0.34444444444444444
Grik3,5.115810545850842,0.027540039217645577,1.2222222222222223,0.0,1.2222222222222223
Pvalb,5.054256452958964,0.02844972056931729,0.46296296296296297,2.0,-1.537037037037037
Pcdhga11,4.577696816093775,0.03668538449412156,0.18518518518518517,0.6,-0.4148148148148148
Ntrk3,3.6140982911755994,0.062351652848326784,0.46296296296296297,1.4,-0.9370370370370369
Htr2a,3.1859619800245036,0.07959471012655098,0.1111111111111111,0.4,-0.2888888888888889
Nrgn,3.0400687077236053,0.08662407624419631,0.5185185185185185,1.8,-1.2814814814814817
Zfhx3,2.8287012622507133,0.09806470151555774,1.0,0.0,1.0
Prkcg,2.033898305084747,0.1592798009044556,0.2962962962962963,0.0,0.2962962962962963
Pcdhga9,2.0063563003781395,0.16208321679744153,0.09259259259259259,0.4,-0.30740740740740746
Pax2,1.6587308068464044,0.20297899076751294,1.5,0.4,1.1
Gad2,1.5050614335499035,0.2249376345387119,2.2037037037037037,0.4,1.8037037037037038
Sema7a,1.4164669374423375,0.23891924013240537,0.4444444444444444,0.8,-0.3555555555555556
Penk,1.3861398045095132,0.24395081919505085,0.5740740740740741,1.0,-0.42592592592592593
Bnc2,1.2445660286280775,0.26927415438019436,0.3888888888888889,0.0,0.3888888888888889
Pcdhgc5,1.1627750655262539,0.28543301548063055,0.12962962962962962,0.4,-0.27037037037037037
Notch2,1.1620462092384864,0.2855825387403665,0.25925925925925924,0.0,0.25925925925925924
Chrna7,1.075172301051672,0.30415900771392673,0.2037037037037037,0.4,-0.19629629629629633
Vgf,1.0660607677851193,0.30619800228455213,7.2407407407407405,7.6,-0.35925925925925917
Grid1,1.062632100584288,0.30696994235009917,0.7407407407407407,1.2,-0.45925925925925926
Rorb,1.0431352515461516,0.31140878732924393,0.42592592592592593,0.8,-0.3740740740740741
Sstr2,1.0429541963697462,0.3114504052395079,0.3333333333333333,0.0,0.3333333333333333
Uts2r,0.9184322033898302,0.3419344053889912,0.07407407407407407,0.2,-0.12592592592592594
Pcdhb16,0.8400884303610914,0.36323323411475694,0.14814814814814814,0.0,0.14814814814814814
Grik1,0.8092155304477067,0.372137014716253,0.16666666666666666,0.0,0.16666666666666666
Pcdhgb4,0.7991930872069636,0.3750939846348226,0.2222222222222222,0.4,-0.1777777777777778
Rnf220,0.6913751451852335,0.40916684079679744,3.240740740740741,3.6,-0.35925925925925917
Drd5,0.6911014588238175,0.4092590192622481,0.14814814814814814,0.0,0.14814814814814814
Gabrg3,0.682525056709042,0.4121633462912674,0.2037037037037037,0.0,0.2037037037037037
P2rx7,0.6038135593220334,0.44033969408077095,0.1111111111111111,0.0,0.1111111111111111
Sema4d,0.5833895495235281,0.4481369400884306,0.09259259259259259,0.2,-0.10740740740740742
Adra1b,0.583389549523527,0.44813694008843097,0.09259259259259259,0.2,-0.10740740740740742
Pcdhga12,0.583389549523527,0.44813694008843097,0.09259259259259259,0.2,-0.10740740740740742
Cck,0.5781502485070569,0.45017211897813875,0.12962962962962962,0.0,0.12962962962962962
Gpc3,0.5781502485070569,0.45017211897813875,0.12962962962962962,0.0,0.12962962962962962
Plxnb2,0.563838671355815,0.4558065787984369,0.09259259259259259,0.2,-0.10740740740740742
Pcdhgb2,0.563838671355815,0.4558065787984369,0.09259259259259259,0.2,-0.10740740740740742
Sema5b,0.5534628624597764,0.45996211763272055,0.18518518518518517,0.0,0.18518518518518517
Dlk1,0.5395361169904164,0.46563619809894585,1.0740740740740742,0.2,0.8740740740740742
Chrm4,0.49290902801798697,0.48548961534953206,0.09259259259259259,0.0,0.09259259259259259
Gabrq,0.49290902801798697,0.48548961534953206,0.09259259259259259,0.0,0.09259259259259259
Sema6c,0.49290902801798697,0.48548961534953206,0.09259259259259259,0.0,0.09259259259259259
Farp2,0.4701721864676301,0.4956874695607443,0.1111111111111111,0.0,0.1111111111111111
Npffr2,0.4701721864676301,0.4956874695607443,0.1111111111111111,0.0,0.1111111111111111
Pcdhgb5,0.4701721864676301,0.4956874695607443,0.1111111111111111,0.0,0.1111111111111111
Gabra1,0.4639578746309178,0.4985380439774615,0.2037037037037037,0.0,0.2037037037037037
Tnr,0.45279334520246617,0.5037304662447118,0.4444444444444444,0.2,0.2444444444444444
Spr,0.41325736695287335,0.5228984557343352,0.14814814814814814,0.0,0.14814814814814814
Crhr1,0.33603537214443635,0.5644109854960659,0.1111111111111111,0.2,-0.0888888888888889
Grik5,0.3243822002593686,0.5712237779444866,1.3888888888888888,1.4,-0.011111111111111072
Sst,0.3122664878274512,0.5784815564928206,1.5555555555555556,1.4,0.15555555555555567
