model,number_of_genes,accuracy_mean,accuracy_sd,balanced_accuracy_mean,balanced_accuracy_sd,macro_f1_mean,macro_f1_sd
LogisticRegression,1,0.9660606060606061,0.06371279681117675,0.9814545454545456,0.03482945461948704,0.9365396825396826,0.11580090820082568
RandomForest,1,0.9660606060606061,0.06371279681117675,0.9814545454545456,0.03482945461948704,0.9365396825396826,0.11580090820082568
ExtraTrees,1,0.9660606060606061,0.06371279681117675,0.9814545454545456,0.03482945461948704,0.9365396825396826,0.11580090820082568
LogisticRegression,2,0.956060606060606,0.06833316535624047,0.9578181818181818,0.10844902066245057,0.9071024531024531,0.1488596037363135
LogisticRegression,3,0.946060606060606,0.0712707688867204,0.9341818181818183,0.13978212089646533,0.8742328878850618,0.17163985016148345
RandomForest,5,0.9524242424242425,0.06412224321792274,0.8832727272727273,0.1945485131450306,0.839728088336784,0.21172543853827067
RandomForest,2,0.9490909090909091,0.06372720788480685,0.8814545454545456,0.19365949499056329,0.8321090407177364,0.2092334102126592
ExtraTrees,2,0.9490909090909091,0.06372720788480685,0.8814545454545456,0.19365949499056329,0.8321090407177364,0.2092334102126592
LogisticRegression,10,0.9354545454545454,0.08148416669198748,0.8740000000000001,0.20057570034839198,0.8191952259164534,0.2125891072362375
LogisticRegression,5,0.9324242424242425,0.07170749685773077,0.8723636363636363,0.19869791016548774,0.8072643202208419,0.20333580372212937
RandomForest,3,0.9457575757575758,0.06315401611984875,0.8614545454545456,0.20582075167043246,0.811239475500345,0.21731067014214125
ExtraTrees,3,0.9457575757575758,0.06315401611984875,0.8614545454545456,0.20582075167043246,0.811239475500345,0.21731067014214125
LogisticRegression,20,0.9218181818181818,0.08612993366368585,0.8121818181818182,0.23765632523797853,0.7689462523238266,0.23947309989185384
RandomForest,10,0.942121212121212,0.06254034510490183,0.8050909090909092,0.2310891209429423,0.7637860593512769,0.23855174949397645
LogisticRegression,40,0.9354545454545454,0.0690057955272256,0.7832727272727272,0.24788267019260984,0.7555029801116757,0.24922743976657047
RandomForest,20,0.9590909090909091,0.0426401432711221,0.7781818181818181,0.24673738841727091,0.762567287784679,0.25516636705535173
ExtraTrees,5,0.9248484848484848,0.05574934063032721,0.7232727272727273,0.23429980088385668,0.6725231193926845,0.2250358944113198
ExtraTrees,20,0.9490909090909091,0.041633319989322674,0.7181818181818181,0.24629485789352848,0.6999585921325051,0.25322860758267945
ExtraTrees,10,0.9248484848484848,0.05574934063032721,0.7050909090909091,0.23328172589460075,0.6592726017943409,0.2263279100361766
RandomForest,40,0.9457575757575758,0.04075053448245878,0.68,0.24,0.66583850931677,0.25062195181258035
ExtraTrees,40,0.9424242424242424,0.03956837835515334,0.66,0.23323807579381203,0.6449689440993788,0.24355016473233884
