gene,F_score,p_value,DH_ex_Sox5_mean,DH_ex_Sox5/Tac1_mean,mean_difference
Tac1,455.90622415226414,8.775410264050304e-35,0.020833333333333332,1.3529411764705883,-1.332107843137255
Esrrg,8.074011774600503,0.005694471875009362,0.0,0.14705882352941177,-0.14705882352941177
Gabrb3,6.831243186454451,0.010699070406915208,0.10416666666666667,0.35294117647058826,-0.24877450980392157
Ptgds,6.62018266160056,0.011930743980330987,0.14583333333333334,1.3823529411764706,-1.2365196078431373
Tnr,6.46203385969116,0.012950673571399512,0.0625,0.35294117647058826,-0.29044117647058826
Htr1d,6.24390243902439,0.014510123661194517,0.0,0.11764705882352941,-0.11764705882352941
Zfhx3,5.329089737363833,0.023554597662275915,0.10416666666666667,0.5588235294117647,-0.45465686274509803
Pdyn,5.049842818336374,0.02738276516137711,0.020833333333333332,0.2647058823529412,-0.24387254901960784
Ramp2,4.837692873306394,0.03073070720125253,0.020833333333333332,0.14705882352941177,-0.12622549019607843
Rxfp3,4.5342135993334916,0.03629851344305328,0.14583333333333334,0.0,0.14583333333333334
Pcdhb21,4.531864673485446,0.036345589431926055,0.0,0.08823529411764706,-0.08823529411764706
Mc5r,3.857061826432218,0.05301048401865046,0.10416666666666667,0.0,0.10416666666666667
Ntrk3,3.53886470912737,0.06358448014589288,1.0208333333333333,1.6764705882352942,-0.6556372549019609
Gabrq,3.3100192920928926,0.07259997316561731,0.020833333333333332,0.11764705882352941,-0.09681372549019608
Pcdhgb2,3.286309887131395,0.07361097410321968,0.1875,0.029411764705882353,0.15808823529411764
Sstr2,2.9358812289311027,0.09050416715293604,0.125,0.4117647058823529,-0.2867647058823529
P2rx7,2.8610665170886445,0.09463955186609468,0.041666666666666664,0.14705882352941177,-0.10539215686274511
Pcdhga11,2.6622101715207234,0.10668848366921138,0.375,0.14705882352941177,0.22794117647058823
Dpy19l1,2.379273203468829,0.12690132372577678,0.041666666666666664,0.17647058823529413,-0.13480392156862747
Gpc3,2.292894177294248,0.1339084288045854,0.020833333333333332,0.14705882352941177,-0.12622549019607843
Pkd2l1,2.292894177294248,0.1339084288045854,0.020833333333333332,0.14705882352941177,-0.12622549019607843
Chrna7,2.235159196143132,0.1388370910342322,0.14583333333333334,0.5,-0.35416666666666663
Fosb,2.216970586546995,0.14043240693946515,0.041666666666666664,0.20588235294117646,-0.1642156862745098
Prox1,2.211382113821138,0.14092676659847161,0.0625,0.0,0.0625
Chrm3,1.947356985942013,0.1667334812362077,0.020833333333333332,0.08823529411764706,-0.06740196078431374
Penk,1.6976616176965282,0.1963320002638721,2.5833333333333335,1.8823529411764706,0.7009803921568629
Pcdhga9,1.6877785339509572,0.19762581705720147,0.041666666666666664,0.11764705882352941,-0.07598039215686275
