gene,F_score,p_value,DH_ex_Reln_mean,DH_ex_Grp_mean,DH_ex_Prkcg/Rxfp1_mean,highest_mean_cell_type,max_mean,min_mean,mean_range
Chrm4,134.09142698645726,3.686799153831868e-27,1.2727272727272727,0.0,0.06666666666666667,DH_ex_Reln,1.2727272727272727,0.0,1.2727272727272727
Bnc2,8.562124576068893,0.00040636755528959104,2.121212121212121,0.46153846153846156,0.3333333333333333,DH_ex_Reln,2.121212121212121,0.3333333333333333,1.7878787878787878
Adcyap1,6.082831304559517,0.0033819758435900786,0.45454545454545453,0.0,0.0,DH_ex_Reln,0.45454545454545453,0.0,0.45454545454545453
Sst,4.353449203983587,0.01581335434658664,5.2727272727272725,2.3461538461538463,6.033333333333333,DH_ex_Prkcg/Rxfp1,6.033333333333333,2.3461538461538463,3.687179487179487
Ntrk3,4.332166262195992,0.016122010164697432,0.5757575757575758,0.6153846153846154,1.7666666666666666,DH_ex_Prkcg/Rxfp1,1.7666666666666666,0.5757575757575758,1.190909090909091
Sema6c,4.239541995971383,0.017538781676367216,0.18181818181818182,0.038461538461538464,0.0,DH_ex_Reln,0.18181818181818182,0.0,0.18181818181818182
Plxnb1,4.206519336933632,0.01807417377469408,0.21212121212121213,0.0,0.03333333333333333,DH_ex_Reln,0.21212121212121213,0.0,0.21212121212121213
Cck,3.3377073473283265,0.04017522036677235,0.15151515151515152,0.15384615384615385,1.0666666666666667,DH_ex_Prkcg/Rxfp1,1.0666666666666667,0.15151515151515152,0.9151515151515152
Pcdhga12,3.2453963713579497,0.04377214460022546,0.15151515151515152,0.038461538461538464,0.3333333333333333,DH_ex_Prkcg/Rxfp1,0.3333333333333333,0.038461538461538464,0.2948717948717948
Pcdhgc5,2.8161571129211738,0.06536439353693685,0.15151515151515152,0.0,0.26666666666666666,DH_ex_Prkcg/Rxfp1,0.26666666666666666,0.0,0.26666666666666666
Prkcg,2.7245731820933714,0.07123742293027191,0.5454545454545454,0.11538461538461539,1.0666666666666667,DH_ex_Prkcg/Rxfp1,1.0666666666666667,0.11538461538461539,0.9512820512820512
Zfhx3,2.654374023927412,0.07610281372689662,0.45454545454545453,0.11538461538461539,0.4666666666666667,DH_ex_Prkcg/Rxfp1,0.4666666666666667,0.11538461538461539,0.35128205128205126
Fbn2,2.490768327369951,0.08880611948258842,0.15151515151515152,0.23076923076923078,0.0,DH_ex_Grp,0.23076923076923078,0.0,0.23076923076923078
Sema4d,2.3752505314303063,0.09906609514426237,0.12121212121212122,0.15384615384615385,0.0,DH_ex_Grp,0.15384615384615385,0.0,0.15384615384615385
Nmu,2.2800316449506437,0.10843127311974492,0.21212121212121213,0.11538461538461539,0.03333333333333333,DH_ex_Reln,0.21212121212121213,0.03333333333333333,0.1787878787878788
