gene,F_score,p_value,DH_in_Kcnip2_mean,DH_in_Npy2r_mean,mean_difference
Sst,5.999218652490169,0.018363668386247166,0.0,1.368421052631579,-1.368421052631579
Sema6d,5.0452257691575495,0.029764071027831965,1.125,3.0526315789473686,-1.9276315789473686
Grid1,4.745720795555912,0.03477193179816429,0.0,0.7894736842105263,-0.7894736842105263
Chrm3,3.9954445652210597,0.051824331474430066,0.0,0.5,-0.5
Chrnb2,3.799506726858613,0.05766010741736659,0.25,1.105263157894737,-0.855263157894737
Gad2,3.225150536278861,0.07938393862781215,0.375,1.368421052631579,-0.993421052631579
Pcdhgc5,2.945173676403438,0.0931683864595552,0.0,0.34210526315789475,-0.34210526315789475
Pcdhgb4,2.6346389295367607,0.1116998624133259,0.0,0.2894736842105263,-0.2894736842105263
Pcdhga12,2.3748125937031492,0.13046827093081453,0.0,0.23684210526315788,-0.23684210526315788
Grik1,2.302361761570793,0.13633016428513312,0.125,0.5789473684210527,-0.45394736842105265
Sema4d,2.2855753108421677,0.1377313537404988,0.0,0.2631578947368421,-0.2631578947368421
Penk,2.013095726449124,0.1629919776541024,0.75,2.1578947368421053,-1.4078947368421053
Pvalb,1.9418623972128777,0.17046596782579354,1.125,0.6052631578947368,0.5197368421052632
Prkcg,1.8529198150101622,0.1803750165998587,0.25,0.868421052631579,-0.618421052631579
Sema7a,1.6835103225758556,0.20122035242988692,0.125,0.6842105263157895,-0.5592105263157895
Grik5,1.68253473345491,0.2013485459963164,0.5,1.1842105263157894,-0.6842105263157894
Nrp1,1.6257469720815036,0.20898410235142437,0.0,0.23684210526315788,-0.23684210526315788
Gabrb3,1.492663289013891,0.22830913008452744,0.125,0.3684210526315789,-0.24342105263157893
Grik3,1.3525338558635718,0.2511043241870988,0.0,0.23684210526315788,-0.23684210526315788
Cck,1.2417518355562864,0.2711837574606569,0.25,0.10526315789473684,0.14473684210526316
Npffr2,1.206446844398344,0.2780112091613986,0.375,0.21052631578947367,0.16447368421052633
Zfhx3,1.1594202898550725,0.28745431829299406,0.0,0.13157894736842105,-0.13157894736842105
Pcdhb16,1.1594202898550725,0.28745431829299406,0.0,0.13157894736842105,-0.13157894736842105
Htr1d,1.1036532216648678,0.2992016988355208,0.0,0.15789473684210525,-0.15789473684210525
Pcdhga9,1.1036532216648678,0.2992016988355208,0.0,0.15789473684210525,-0.15789473684210525
Pcdhb19,1.1036532216648673,0.29920169883552095,0.0,0.15789473684210525,-0.15789473684210525
Jag2,1.0706081368567582,0.30646170868476214,0.125,0.39473684210526316,-0.26973684210526316
Ptgds,1.0416255940681172,0.3130227109964316,0.25,0.9210526315789473,-0.6710526315789473
Rorb,1.0005629584852622,0.3226438305707994,0.625,0.34210526315789475,0.28289473684210525
Pcdhb11,0.9956953760201107,0.32381056820201237,0.0,0.23684210526315788,-0.23684210526315788
Pax2,0.9142194569629332,0.34422149231617577,0.5,1.2105263157894737,-0.7105263157894737
Adcyap1r1,0.8465525502193033,0.3625464810537301,0.625,1.0789473684210527,-0.45394736842105265
Sstr2,0.7952289229957016,0.37737461443110865,0.125,0.4473684210526316,-0.3223684210526316
Dpy19l1,0.7357859531772611,0.39566258198287263,0.125,0.3157894736842105,-0.1907894736842105
Notch2,0.43400404820809135,0.5134636596068893,0.25,0.10526315789473684,0.14473684210526316
Adra2a,0.43400404820809135,0.5134636596068893,0.25,0.10526315789473684,0.14473684210526316
Plxnc1,0.3107335322073571,0.58005541034933,0.125,0.2631578947368421,-0.1381578947368421
Plxnb1,0.28347014296124773,0.5971143310536234,0.125,0.2631578947368421,-0.1381578947368421
Ntrk3,0.25655288613559374,0.6150271534054502,0.625,0.8947368421052632,-0.26973684210526316
Pcdhga11,0.2554289834783429,0.6158004980310902,0.25,0.39473684210526316,-0.14473684210526316
Plxna1,0.2267682700230825,0.6362867337228107,0.375,0.23684210526315788,0.13815789473684212
Pcdhga10,0.2055650449885798,0.6524941225174846,0.125,0.21052631578947367,-0.08552631578947367
Esrrg,0.2055650449885798,0.6524941225174846,0.125,0.21052631578947367,-0.08552631578947367
Nrgn,0.17787692091424756,0.6752576888982144,0.5,1.0,-0.5
Sema6c,0.1379822158161177,0.7120780480480634,0.125,0.21052631578947367,-0.08552631578947367
Gabrg3,0.12015238796445336,0.730521571333989,0.25,0.34210526315789475,-0.09210526315789475
Vgf,0.09676231460044508,0.7572191164346639,0.625,1.3157894736842106,-0.6907894736842106
Rnf220,0.090289447043302,0.7652247274610942,2.5,2.9473684210526314,-0.4473684210526314
Sema4c,0.08690268347904377,0.7695387816884159,0.25,0.21052631578947367,0.03947368421052633
Tnr,0.08121121325189183,0.7769997734603816,0.5,0.5789473684210527,-0.07894736842105265
Bnc2,0.048088253743175484,0.8274380052655584,0.25,0.23684210526315788,0.013157894736842118
Gabra1,0.025431892620896717,0.8740254081199259,0.125,0.10526315789473684,0.019736842105263164
Pmp22,0.025431892620896717,0.8740254081199259,0.125,0.10526315789473684,0.019736842105263164
Sema5b,0.02355457532839076,0.8787254359521698,0.25,0.2894736842105263,-0.03947368421052633
Cdh19,0.01638866066663555,0.8987178989446334,0.125,0.18421052631578946,-0.05921052631578946
Nmu,0.0009401726602073035,0.9756775731018711,0.125,0.13157894736842105,-0.006578947368421045
