actual_cell_type,number_of_cells,normal_correct,weighted_correct,normal_accuracy,weighted_accuracy,difference
meninges_2,42,11,11,0.2619047619047619,0.2619047619047619,0.0
oligodendrocyte_progenitor_2,703,291,291,0.4139402560455192,0.4139402560455192,0.0
peripheral_glia,23,10,10,0.43478260869565216,0.43478260869565216,0.0
pericyte,40,18,18,0.45,0.45,0.0
meninges_1,67,33,33,0.4925373134328358,0.4925373134328358,0.0
oligodendrocyte_1,271,146,146,0.5387453874538746,0.5387453874538746,0.0
oligodendrocyte_precursor_cell,110,60,60,0.5454545454545454,0.5454545454545454,0.0
oligodendrocyte_progenitor_1,49,29,29,0.5918367346938775,0.5918367346938775,0.0
astrocyte_2,196,120,120,0.6122448979591837,0.6122448979591837,0.0
astrocyte_1,573,366,366,0.6387434554973822,0.6387434554973822,0.0
meninges_3,19,13,13,0.6842105263157895,0.6842105263157895,0.0
endothelial,323,229,229,0.7089783281733746,0.7089783281733746,0.0
Schwann_cell,49,38,38,0.7755102040816326,0.7755102040816326,0.0
microglia,64,51,51,0.796875,0.796875,0.0
oligodendrocyte_2,419,338,338,0.8066825775656324,0.8066825775656324,0.0
ependymal,10,9,9,0.9,0.9,0.0
