model,number_of_genes,alpha,accuracy_mean,accuracy_sd,balanced_accuracy_mean,balanced_accuracy_sd,macro_f1_mean,macro_f1_sd
LogisticRegression,40,0.0,0.5919509992225729,0.02211003569475787,0.6028527675451274,0.036264816878959064,0.5409931951688811,0.0346966144181571
LogisticRegression,40,0.25,0.6186585951433667,0.022037224886001443,0.5987294971991186,0.03303941628719951,0.5601527213230029,0.031768937726582396
LogisticRegression,40,0.5,0.6390119815246719,0.020112644662715125,0.5857017693502905,0.036062259316123356,0.5663320200778162,0.03031236283744758
ExtraTrees,40,0.0,0.49857799423789273,0.01961525805951823,0.5713615507217211,0.022908484512137506,0.42408559109341026,0.02975677195465027
LogisticRegression,20,0.0,0.5183200713403759,0.01851588129850509,0.5570821833152774,0.03460508623456954,0.472231617254217,0.027312964518525402
LogisticRegression,20,0.25,0.5628082270087347,0.020853294043416345,0.5553275996944719,0.030508477110228985,0.4999894458653182,0.03043740692486097
RandomForest,40,0.0,0.4473214204051768,0.02274846480033435,0.5507411521857832,0.021494468842231974,0.3982524392159721,0.02355321608340084
LogisticRegression,40,1.0,0.6475299538116797,0.01658812841599683,0.5436177540060332,0.03284637324612425,0.5532303860687664,0.029992529938992225
LogisticRegression,20,0.5,0.5846476425664242,0.019643853187379493,0.5383701701838336,0.028732515220747795,0.5098112223562944,0.029281268860955976
ExtraTrees,20,0.0,0.4572675721406686,0.01822761041394925,0.5262527844513524,0.02127779104535015,0.38213744860388893,0.022713478659842586
RandomForest,20,0.0,0.4276551424520968,0.021158087550328452,0.5205093717756206,0.029564207952139262,0.38126635065196557,0.030488109422326545
ExtraTrees,40,0.25,0.5763323729821191,0.015411987448254743,0.501538445501847,0.019484961001962238,0.48266203791820195,0.02365137970805414
RandomForest,40,0.25,0.5120324004207252,0.02025329223134359,0.48761733768765586,0.030951434780253577,0.4460286772589221,0.0341472942918136
LogisticRegression,20,1.0,0.6011452188228837,0.017170258624965625,0.484232799309939,0.03376802049438917,0.4922526462923668,0.03391349933549485
LogisticRegression,10,0.0,0.42995392600722554,0.03361656919334871,0.4813629667911227,0.03553450275616599,0.38325372972749816,0.03333095904113395
ExtraTrees,20,0.25,0.5609195362875566,0.016662882412815407,0.4792180486309033,0.023605720246038832,0.4454614589732704,0.027515865518939288
ExtraTrees,10,0.0,0.3922275575067453,0.03699650699514395,0.46838549346270464,0.027123789488088253,0.3311324902993953,0.03397571192757069
RandomForest,20,0.25,0.4934419444825536,0.01999842392953655,0.46693805066578215,0.03050476926826923,0.41225179205688256,0.031408199855052804
LogisticRegression,10,0.25,0.4844506562399964,0.018998557084549245,0.4647389651427289,0.03549954443859271,0.41048239370651546,0.03185903517158805
LogisticRegression,10,0.5,0.5133191567201719,0.01793863521990419,0.4535336174859726,0.036865692019215114,0.42151979701703973,0.03413549920832485
RandomForest,10,0.0,0.36612601179860066,0.03589066199152286,0.44306980911580973,0.027564693367341686,0.32087847985180895,0.03225639727964761
ExtraTrees,10,0.25,0.4934373713815338,0.01868953691247515,0.43135738024625586,0.032286886832392,0.3919672760330095,0.03009770117747686
RandomForest,10,0.25,0.4293357570768738,0.03156443329546047,0.4195704432972691,0.03897592559502601,0.3562709588131583,0.035977221701007485
LogisticRegression,10,1.0,0.5235292907120318,0.019955255386161396,0.402025064501275,0.046446939476098265,0.39859333775563976,0.04634122972873522
RandomForest,10,0.5,0.4409012438834774,0.02117967107678399,0.38368594824681357,0.040805590008987966,0.3611886782102573,0.038469745859859766
RandomForest,40,0.5,0.48039100013719316,0.016361008434476937,0.37353935001579186,0.0342394488989231,0.37352700920523874,0.03659853568431215
RandomForest,20,0.5,0.4733650020578954,0.017736207130614037,0.37244423459097786,0.03438580993191114,0.3623594716164662,0.03393049550409383
ExtraTrees,5,0.0,0.20472401335345494,0.05124894772870608,0.3674181599357166,0.029367046858158725,0.21488357261337704,0.031714467718653105
LogisticRegression,5,0.0,0.22636392737915578,0.04488438839528245,0.3666733251953375,0.031904441430348464,0.24241953649143844,0.03145045689048529
RandomForest,5,0.0,0.22136301275895182,0.04361309249570136,0.36051792272390043,0.02668180243095793,0.23986122009840063,0.030674880755176298
LogisticRegression,5,0.25,0.3853268623953903,0.03419883105509252,0.358966244309035,0.03355308729418618,0.3025648919543988,0.034831596141864096
ExtraTrees,5,0.25,0.4208243014588192,0.029668899182751337,0.35768121848776496,0.03027038914277632,0.3106823771960172,0.02939007320073126
RandomForest,5,0.25,0.3852597521379248,0.028077394401274533,0.3472534133547014,0.031036314090097324,0.2870086062013943,0.025124723962686214
LogisticRegression,5,0.5,0.42014633923263367,0.028902434411650524,0.3379999422896068,0.03569109907335222,0.30541706829093085,0.03372007526014784
ExtraTrees,20,0.5,0.5139960899986281,0.017699197105798037,0.33590938116594304,0.03675513772901108,0.3461154785457656,0.04153662798917515
ExtraTrees,10,0.5,0.4799838798189052,0.01620191870813914,0.32753914733420353,0.04030735717524578,0.32128115268079854,0.04282722908071841
RandomForest,5,0.5,0.4024360909132482,0.026788038269634055,0.32690009403193654,0.03162239225084894,0.3003924908050879,0.0280959648351555
ExtraTrees,40,0.5,0.49999977134494905,0.016528209161195722,0.32049984937655446,0.03351876906352334,0.34188442072092934,0.03908304818941742
LogisticRegression,5,1.0,0.4285974299172268,0.030445669962956744,0.2943282045729634,0.036542276174085106,0.2837889528057923,0.03719295159345514
ExtraTrees,5,0.5,0.4214310376366215,0.026607281147447228,0.29105542469376194,0.023858422026541003,0.27657184402444535,0.02855495749703685
LogisticRegression,3,0.25,0.28167718479901216,0.016720687020148024,0.288112128747829,0.017691132561759193,0.22591351389881748,0.01885030611182673
LogisticRegression,3,0.0,0.10459813874788493,0.007785550526560116,0.2844553445891885,0.017347258023990477,0.1562926749079259,0.012797937252881711
ExtraTrees,3,0.0,0.10973647505373392,0.009050633281404126,0.2734747340067371,0.011225250475646629,0.149218031478678,0.013698566588985866
RandomForest,3,0.0,0.11095246261489917,0.008758585223267269,0.2670905564322317,0.01382868520770145,0.14776720935752558,0.014171390860582814
ExtraTrees,3,0.25,0.29134494900992364,0.015415311389552109,0.2624915619753342,0.01819057067528453,0.19965096341860286,0.01722184558804292
LogisticRegression,3,0.5,0.3049355192756208,0.016117772422580005,0.2582836638527068,0.022725905881136314,0.22268891529549123,0.01824245491732069
RandomForest,3,0.25,0.2989172040060365,0.013080172682828965,0.2533380964572387,0.021709844264729126,0.20854258579322102,0.018734021298443183
ExtraTrees,3,0.5,0.3092622444779805,0.013625843842600818,0.24663162570144428,0.021964021811368563,0.2135100447502136,0.021577959758212605
RandomForest,3,0.5,0.30635340924681026,0.014520988149795197,0.24301921189273581,0.022493917310343496,0.20941114877777914,0.01840720772591533
LogisticRegression,3,1.0,0.30770670416609497,0.014163051397535313,0.22945757016597132,0.023340980643198984,0.21460315136949595,0.019391795054590873
RandomForest,5,1.0,0.3709944208167558,0.030038294070565564,0.22526470829409864,0.027955416558383826,0.21881971935716854,0.030007601361208346
RandomForest,3,1.0,0.3048677230530022,0.015364383445268904,0.20667623521092363,0.02625228716774064,0.19161422318386848,0.027291748516655938
RandomForest,10,1.0,0.3793702839895733,0.019956320152938644,0.20089825576415699,0.018761433104844814,0.19559773365927463,0.024128070143396487
LogisticRegression,2,0.0,0.05334007865733754,0.019461757289361156,0.20053027528027528,0.025439868319302048,0.08854399968967966,0.02175682415735669
LogisticRegression,2,0.25,0.2580717519550007,0.02143743722105867,0.19793594941588452,0.02416792551336884,0.13928607163209467,0.02768921017364131
ExtraTrees,2,0.0,0.058610806237709784,0.024933799097675097,0.19733916585778286,0.022964479462994958,0.0920394404447478,0.02333793506123707
ExtraTrees,2,0.25,0.26111377875337266,0.02153157747622093,0.19184021256790987,0.020866782680848836,0.13553079450022254,0.023785846636256942
LogisticRegression,2,0.5,0.2768716559198792,0.016763487725097642,0.19038548196510485,0.025016632097378207,0.15156563662283815,0.02492328892028003
RandomForest,2,0.0,0.054959985366076734,0.027160473495714828,0.19032086825703842,0.02443363130545486,0.08732609780813433,0.025333656597685193
RandomForest,2,0.25,0.2579379887501715,0.020451813857328947,0.18674762348712723,0.02453815745072454,0.13603152390699635,0.025620788667560065
RandomForest,2,0.5,0.27572186399597565,0.01368085520532056,0.18237039247084982,0.023121679278605926,0.14269009207438102,0.020845715002225224
ExtraTrees,2,0.5,0.27653336077193946,0.015251199670270445,0.18088338847778207,0.023447325213939767,0.14269020037112706,0.02170381320190967
RandomForest,20,1.0,0.37917718479901225,0.012964392255016628,0.17738048131538128,0.020782047277202044,0.17591777916906076,0.02687615513814349
ExtraTrees,5,1.0,0.37477980518589654,0.030678369678542962,0.17281700579488576,0.022885597297050992,0.16546656257400694,0.025729077459877837
LogisticRegression,2,1.0,0.2785610737641194,0.015514910410445905,0.1710356222612053,0.024831404818197938,0.1479351442054653,0.02338337673822705
RandomForest,40,1.0,0.3724785064252069,0.015520770222457476,0.16847806042842642,0.0194805139502915,0.17145999558672337,0.02471924444367428
ExtraTrees,10,1.0,0.4042574427219098,0.013662274005549055,0.16831066457508065,0.018801441403739946,0.15722323675112926,0.022562736318670465
RandomForest,2,1.0,0.2791687245621256,0.015869584577794926,0.16495306686810654,0.024320291679251732,0.13963465481942589,0.02282806221489696
ExtraTrees,20,1.0,0.4127830749531258,0.01609109530561429,0.16422709551227108,0.017918764678627505,0.15398343345888732,0.022805311706176473
ExtraTrees,3,1.0,0.2923589198335391,0.01449385365606176,0.15967638917217628,0.02445853813493779,0.16214742839862675,0.028630825693877194
ExtraTrees,40,1.0,0.3899250011432753,0.01525579511169396,0.14964223697065626,0.013391129173576263,0.13970857546764737,0.0167019350015685
ExtraTrees,2,1.0,0.2770735583299035,0.01600681112981162,0.14610483847397768,0.025919512216862204,0.13061584164616508,0.027622388091661003
LogisticRegression,1,0.5,0.25395378881419495,0.013321653560197905,0.13108720181699637,0.013177183837371743,0.09003897864602953,0.015132269398517152
LogisticRegression,1,0.25,0.2528721360954863,0.012737308658301569,0.1306649319888645,0.01313377146086265,0.0768250726670505,0.011083244296877235
ExtraTrees,1,0.25,0.2527368866328257,0.012775501243492521,0.12824643952736847,0.01719608820501885,0.07544705961210076,0.012025991697758967
RandomForest,1,0.5,0.2533454520510358,0.013072183398107798,0.12822116560018235,0.01731547432722796,0.08587225778100434,0.017322100284930513
RandomForest,1,0.25,0.2536156079937806,0.012055323862419504,0.12817659273184126,0.017217309574185224,0.07507920457063617,0.012223469539782155
ExtraTrees,1,0.5,0.25354792609868754,0.01343923417410272,0.1248861609400584,0.019462916434107285,0.08458679431376788,0.01765041238854781
RandomForest,1,0.0,0.02636952942790506,0.034171211941359234,0.12226936026936026,0.012460754820096223,0.03364256578905534,0.011262316908831687
LogisticRegression,1,0.0,0.03961551653176019,0.0401650738640138,0.12179894179894181,0.012540009587818774,0.035179951507208235,0.011467624607236071
LogisticRegression,1,1.0,0.25354769744363653,0.013121536606630825,0.12125495497649083,0.01743485560793894,0.09250995653336024,0.01408561213861469
ExtraTrees,1,0.0,0.06524957698815567,0.04488329948415314,0.11960927960927961,0.017329225301101613,0.03666813885069843,0.012580574238285385
RandomForest,1,1.0,0.25361549366625513,0.012705233902456241,0.11847948803670844,0.01953991921224501,0.08938482771517542,0.015462328834812918
ExtraTrees,1,1.0,0.25293901769790095,0.01341259886635654,0.11373511467267856,0.0217533947378888,0.08532496535365443,0.01794650947383001
