,Predicted_astrocyte_1,Predicted_astrocyte_2,Predicted_endothelial,Predicted_ependymal,Predicted_meninges_1,Predicted_meninges_2,Predicted_meninges_3,Predicted_microglia,Predicted_oligodendrocyte_1,Predicted_oligodendrocyte_2,Predicted_oligodendrocyte_precursor_cell,Predicted_oligodendrocyte_progenitor_1,Predicted_oligodendrocyte_progenitor_2,Predicted_pericyte,Predicted_peripheral_glia,Predicted_Schwann_cell
Actual_astrocyte_1,366,76,14,2,0,0,1,6,30,2,26,4,13,32,1,0
Actual_astrocyte_2,30,120,3,0,0,1,1,2,9,8,5,2,8,5,0,2
Actual_endothelial,9,10,229,0,0,2,0,2,28,4,4,1,7,27,0,0
Actual_ependymal,0,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0
Actual_meninges_1,0,1,0,0,33,18,10,1,0,0,0,0,1,2,0,1
Actual_meninges_2,0,0,1,0,13,11,16,0,0,0,0,0,0,1,0,0
Actual_meninges_3,0,0,0,0,1,5,13,0,0,0,0,0,0,0,0,0
Actual_microglia,0,0,2,0,1,0,0,51,1,2,4,0,2,1,0,0
Actual_oligodendrocyte_1,11,11,18,1,4,1,8,4,146,17,8,3,29,9,1,0
Actual_oligodendrocyte_2,1,6,2,0,0,0,0,11,27,338,6,1,23,3,1,0
Actual_oligodendrocyte_precursor_cell,9,5,2,0,1,0,0,2,5,3,60,19,3,0,1,0
Actual_oligodendrocyte_progenitor_1,1,0,0,0,0,0,0,0,0,0,17,29,1,1,0,0
Actual_oligodendrocyte_progenitor_2,19,36,24,1,15,1,6,10,211,52,18,2,291,14,2,1
Actual_pericyte,3,3,6,0,1,0,0,1,5,0,2,0,1,18,0,0
Actual_peripheral_glia,1,1,1,0,0,0,0,0,0,1,0,1,0,0,10,8
Actual_Schwann_cell,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10,38
