Unnamed: 0,Datasets,volume,center_x,center_y,MERFISH_cell_type_annotation,Region,Excitatory_vs_Inhibitory,Segment,Gender,Mouse_ID,AP_position,Section_ID,Pmfbp1,Sema7a,Cck,Sema3a,Sema3g,Adcyap1r1,Gabrb3,Ntrk3,Htr4,Grik1,Spr,Prox1,Sst,Pcdhgb2,Dpy19l1,Pax6,Hcrtr1,Agtr1b,Sstr2,Shox2,Adra1b,Dlk1,Pax2,Crhr1,Drd1,Tfap2b,Ctss,Pcdha9,Sema6d,Gabrg3,Chrnb2,Cdh19,Gpc3,Pmp22,Onecut2,Pth1r,Penk,Pcdhb12,Rorb,Esrrg,Ccn2,Sema6c,Pvalb,Sema4d,Ghsr,Htr2a,Pcdhgb5,Uts2r,Pcdhb16,Bnc2,Pcdhga11,P2ry1,Pcdhb18,Farp2,Rnf220,Pcdhga12,Prkcg,Vgf,Plxna1,Pcdhb19,Tyrobp,Notch2,P2rx7,Foxp2,Pcdhga9,Gabra1,Hrh2,P2rx6,Sema5b,Pdyn,Nrp1,Gad2,Pcdhgb4,Sema4c,Htr1f,Pdzrn3,Plxnc1,Pcdhgc5,Jag2,Ptgds,Mc4r,Gabrg2,Dll1,Tnr,Pts,Pcdhga6,Sstr3,Grid1,Grik5,Plxnb1,Calb1,P2rx3,Grik3,Zfhx3,Oprm1,Chrm3,Chrng,Pkd2l1,Chrna7
2656143800053100114,20240328,2225.536621,2044.126371,3012.060063,M_in_Tfap2b,3.0,inhibitory,12.0,male,M3,1,0328_M3_C,0,4,0,0,0,0,1,2,0,1,0,0,1,0,1,0,0,0,0,0,0,4,7,0,1,1,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,1,1,0,0,0,0,4,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0,0,0,0,0
2656143800104100317,20240328,1322.326416,2122.71078,3746.975815,M_in_Tfap2b,3.0,inhibitory,12.0,male,M3,1,0328_M3_C,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2656143800241100034,20240328,2718.663086,5562.191713,4889.133411,M_in_Tfap2b,3.0,inhibitory,12.0,male,M3,4,0328_M3_T,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
2656144900421100282,20240328,1756.238037,7370.193514,4640.054322,M_in_Tfap2b,3.0,inhibitory,12.0,male,M2,4,0328_M2_T,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2707604000056100216,20240415,1978.725098,7520.061523,8401.825435,M_in_Tfap2b,3.0,inhibitory,12.0,male,M3,2,0415_M3_L,0,1,0,0,0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,5,1,0,0,5,0,0,0,0,0,0,1,0,0,0,0,5,0,0,12,1,0,0,0,0,0,1,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1
2707604000124100179,20240415,2284.705811,5616.672154,9792.251933,M_in_Tfap2b,3.0,inhibitory,12.0,male,M3,4,0415_M3_T,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
2707604000139100111,20240415,2111.609619,5631.811135,9997.908708,M_in_Tfap2b,3.0,inhibitory,12.0,male,M3,4,0415_M3_T,0,1,0,0,0,1,0,1,1,2,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,7,0,0,0,0,1,0,0,0,0,0,0,1,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2707604700091100033,20240415,3452.976807,7177.59683,6010.152709,M_in_Tfap2b,3.0,inhibitory,12.0,male,M3,3,0415_M3_S,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
2707604700202100120,20240415,4911.178223,4654.457593,7668.16236,M_in_Tfap2b,3.0,inhibitory,12.0,male,M2,4,0415_M2_T,1,1,0,0,0,7,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,2,0,0,0,1,1,0,0,2,0,0,2,2,0,1,0,0,0,0,0,1,0,0,4,1,0,44,0,0,0,1,0,0,0,0,0,2,1,1,0,2,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,4,3,0,0,0,0,2,0,0,1,1,3
2707604800241100041,20240415,2007.24292,3011.55,6050.929525,M_in_Tfap2b,3.0,inhibitory,12.0,male,M1,4,0415_M1_T,2,3,0,1,0,4,2,1,0,0,0,0,25,1,0,0,0,0,0,0,1,1,3,0,0,1,0,0,1,0,0,0,0,1,0,0,2,0,0,3,0,0,5,0,0,0,0,0,0,0,0,1,1,0,6,0,0,3,1,2,0,0,0,0,0,2,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,2,0,0,0,0,3,0,0,0,0,1
