Unnamed: 0,Datasets,volume,center_x,center_y,MERFISH_cell_type_annotation,Region,Excitatory_vs_Inhibitory,Segment,Gender,Mouse_ID,AP_position,Section_ID,Sema7a,Slc17a7,Sema6d,Chrnb2,Penk,Esrrg,Pvalb,Bnc2,Rnf220,Vgf,Sema5b,Tnr,Grik5
2656143800418100205,20240328,2992.885498,6083.555966,7010.599906,M_ex_Neurod2,3.0,excitatory,13.0,male,M3,2,0328_M3_L,9,12,1,3,3,1,20,1,7,10,2,0,2
2656144900615100044,20240328,3315.189453,10607.10838,6385.922965,M_ex_Neurod2,3.0,excitatory,13.0,male,M1,2,0328_M1_L,2,15,2,1,1,4,25,2,5,7,0,0,0
2707604700364100164,20240415,2123.151855,3188.622979,9498.875703,M_ex_Neurod2,3.0,excitatory,13.0,male,M2,1,0415_M2_C,5,30,1,1,1,5,29,1,6,1,2,1,5
2707604700365100187,20240415,1144.888306,3250.135475,9519.380366,M_ex_Neurod2,3.0,excitatory,13.0,male,M2,1,0415_M2_C,4,5,0,0,1,0,11,2,0,0,1,0,4
2787445900717100078,20240503,753.8835449,4029.360382,5299.436739,M_ex_Neurod2,3.0,excitatory,13.0,female,F3,2,0503_F3_L,0,1,0,0,0,0,3,0,1,0,0,0,0
2787445900723100162,20240503,1098.321167,5826.425811,5449.097584,M_ex_Neurod2,3.0,excitatory,13.0,female,F3,4,0503_F3_T,5,15,1,3,5,2,26,0,3,0,2,1,1
2795103300120100317,20240610,3097.376465,4548.181389,1004.267736,M_ex_Neurod2,3.0,excitatory,13.0,male,M4,4,0610_M4_T,9,18,5,2,4,10,64,15,9,4,1,1,1
2795103300331100259,20240610,768.2520142,4905.754087,2640.051504,M_ex_Neurod2,3.0,excitatory,13.0,male,M5,4,0610_M5_T,1,6,0,0,2,0,21,0,0,0,1,1,0
2795103300367100045,20240610,1637.436523,5136.161662,2733.212811,M_ex_Neurod2,3.0,excitatory,13.0,male,M5,4,0610_M5_T,0,2,0,1,0,0,11,0,0,1,0,1,0
2945606900000005140,20240328,499.2460022,1106.457222,5711.813085,M_ex_Neurod2,3.0,excitatory,13.0,female,F1,1,0328_F1_C,3,3,0,0,0,1,3,0,1,0,0,0,0
2946331700000007564,20240415,939.8624268,11066.57285,1617.383473,M_ex_Neurod2,3.0,excitatory,13.0,female,F2,4,0415_F2_T,1,1,0,1,0,0,17,0,0,0,0,0,0
