Unnamed: 0,Datasets,volume,center_x,center_y,MERFISH_cell_type_annotation,Region,Excitatory_vs_Inhibitory,Segment,Gender,Mouse_ID,AP_position,Section_ID,Sema7a,Cck,Adcyap1r1,Lhx9,Ntrk3,Grik1,Spr,Prox1,Cyp27a1,Sst,Dpy19l1,Dlk1,Pax2,Crhr1,Calcb,Sema6d,Chrnb2,Cdh19,Penk,Rorb,Esrrg,Pvalb,Sema4d,Pcdhgb5,Uts2r,Pcdhb16,Bnc2,P2ry1,Rnf220,Dbh,Vgf,Plxna1,Pcdhb19,Notch2,Plxnd1,P2rx7,Pcdhga9,P2rx6,Sema5b,Gad2,Slc6a4,Pcdhgb4,Sema4c,Pdzrn3,Pcdhb11,Jag2,Ptgds,Tnr,Cckar,Grid1,Grik5,Plxnb1,Grik3,Zfhx3,Pkd2l1,Hrh1,Chrna7
2656143800192100137,20240328,1235.38208,5732.623299,4525.596748,MV_in_Sema5b,4.0,inhibitory,15.0,male,M3,4,0328_M3_T,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
2656144300210100079,20240328,940.6358032,8783.684199,12613.83094,MV_in_Sema5b,4.0,inhibitory,15.0,female,F2,2,0328_F2_L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
2656144900112100212,20240328,1317.496948,8298.705766,1229.789146,MV_in_Sema5b,4.0,inhibitory,15.0,male,M1,1,0328_M1_C,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4,0,0,0,0,0,2,0,1,0,0,0,0,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
2656144900165100138,20240328,1087.092041,8551.0207,1712.241154,MV_in_Sema5b,4.0,inhibitory,15.0,male,M1,1,0328_M1_C,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,3,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0
2656144900396100193,20240328,1335.352905,7624.020535,4292.46498,MV_in_Sema5b,4.0,inhibitory,15.0,male,M2,4,0328_M2_T,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0
2656144900488100149,20240328,2897.999756,11676.56216,5223.000813,MV_in_Sema5b,4.0,inhibitory,15.0,male,M1,3,0328_M1_S,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0
2656144900536100144,20240328,2669.057861,10496.50175,5756.135676,MV_in_Sema5b,4.0,inhibitory,15.0,male,M1,2,0328_M1_L,2,0,1,1,5,0,0,0,0,0,1,0,0,0,0,2,5,0,0,0,0,1,0,0,0,2,0,0,8,0,7,0,0,0,0,0,0,1,2,1,0,1,0,0,0,0,0,1,0,5,0,0,0,4,0,1,0
2656144900541200056,20240328,2797.635742,11947.41744,5580.575286,MV_in_Sema5b,4.0,inhibitory,15.0,male,M1,3,0328_M1_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,1
2656144900582100162,20240328,1569.085571,8758.203402,6262.183523,MV_in_Sema5b,4.0,inhibitory,15.0,male,M2,2,0328_M2_L,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,0,4,0,0,1,0,0,1,0,2,1,0,0,0,0,0,0,1,0,0,0,2,1,0,0,1,0,0
2707604000124100114,20240415,1801.908936,5755.363573,9719.122475,MV_in_Sema5b,4.0,inhibitory,15.0,male,M3,4,0415_M3_T,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
2707604700067100081,20240415,1276.37915,7406.21111,5801.424987,MV_in_Sema5b,4.0,inhibitory,15.0,male,M3,3,0415_M3_S,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,12,0,0
2707604700107100149,20240415,2256.543213,5161.946513,6437.967913,MV_in_Sema5b,4.0,inhibitory,15.0,male,M2,2,0415_M2_L,1,0,0,0,1,0,0,0,0,6,0,0,1,0,0,1,0,0,1,0,0,2,1,0,0,0,0,0,1,0,4,0,0,0,0,2,1,0,1,0,0,0,0,0,0,1,3,0,0,0,2,0,0,1,0,0,0
2707604700249100037,20240415,3258.701172,4373.175274,7964.005059,MV_in_Sema5b,4.0,inhibitory,15.0,male,M2,4,0415_M2_T,0,0,0,0,2,1,0,0,0,1,1,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,0,0
2707604700249100076,20240415,837.7858276,4419.114571,7994.788217,MV_in_Sema5b,4.0,inhibitory,15.0,male,M2,4,0415_M2_T,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0
2707604700342100085,20240415,4143.908203,3692.228487,9148.225814,MV_in_Sema5b,4.0,inhibitory,15.0,male,M2,1,0415_M2_C,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,4,0,0,1,0,0,1,5,0,0,0,0,0,0,0,0,1,1,0,0,2,0,2,1,0,1,0,0,0,1,0,0,1,0,0,0
2707604700343100054,20240415,873.8097534,3880.560543,9108.3284,MV_in_Sema5b,4.0,inhibitory,15.0,male,M2,1,0415_M2_C,1,0,0,0,3,0,0,0,0,8,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2707604800382100113,20240415,2362.238281,1221.573501,8104.361863,MV_in_Sema5b,4.0,inhibitory,15.0,male,M1,1,0415_M1_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,18,0,2,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,4,3,0,1,0,28,0,0
2707737900048100228,20240415,654.5974731,10922.74319,8898.365086,MV_in_Sema5b,4.0,inhibitory,15.0,female,F1,2,0415_F1_L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2707737900087100135,20240415,411.8473511,10824.50312,9579.318336,MV_in_Sema5b,4.0,inhibitory,15.0,female,F1,2,0415_F1_L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2726543700068100121,20240422,2271.254883,1463.557978,4275.200753,MV_in_Sema5b,4.0,inhibitory,15.0,male,M3,1,0422_M3_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
2726543700195100241,20240422,2730.527344,1424.908018,5476.986786,MV_in_Sema5b,4.0,inhibitory,15.0,male,M3,1,0422_M3_C,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2726543700401100041,20240422,4616.606934,5236.712289,6975.19891,MV_in_Sema5b,4.0,inhibitory,15.0,male,M3,2,0422_M3_L,0,0,0,0,1,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2726543700401100222,20240422,3557.679688,5285.500596,7162.911678,MV_in_Sema5b,4.0,inhibitory,15.0,male,M3,2,0422_M3_L,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2726544600029100053,20240422,2948.502441,880.5507941,6718.587108,MV_in_Sema5b,4.0,inhibitory,15.0,female,F1,1,0422_F1_C,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2726562700255100114,20240422,955.9698486,9658.737316,11210.36379,MV_in_Sema5b,4.0,inhibitory,15.0,female,F2,2,0422_F2_L,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2726562800098100215,20240422,4787.766113,5041.665252,3376.071962,MV_in_Sema5b,4.0,inhibitory,15.0,male,M2,1,0422_M2_C,0,0,0,0,0,1,0,0,1,0,0,9,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
