Unnamed: 0,Datasets,volume,center_x,center_y,MERFISH_cell_type_annotation,Region,Excitatory_vs_Inhibitory,Segment,Gender,Mouse_ID,AP_position,Section_ID,Sema7a,Adcyap1r1,Gabrb3,Ntrk3,Spr,Prox1,Sst,Dpy19l1,Sstr2,Shox2,Dlk1,Pax2,Crhr1,Sema6d,Chrnb2,Onecut2,Penk,Rorb,Esrrg,Ccn2,Pvalb,Sema4d,Pcdhgb5,Bnc2,Pcdhga11,Rnf220,Vgf,Plxna1,P2rx7,Gabra1,P2rx6,Sema5b,Gad2,Pcdhgb4,Ramp2,Jag2,Ptgds,Pcdhga10,Tnr,Grid1,Grik5,Grik3,Zfhx3,Pkd2l1,Chrna7
2656144300187100061,20240328,2425.046875,8755.519535,12488.35647,MV_ex_Shox2,4.0,excitatory,18.0,female,F2,2,0328_F2_L,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,3,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,2,0,0,1,2,0,0,0,0
2656144900113100199,20240328,2502.186523,8425.02646,1272.929154,MV_ex_Shox2,4.0,excitatory,18.0,male,M1,1,0328_M1_C,1,2,1,0,0,0,0,0,0,3,0,0,0,2,1,0,0,0,1,0,6,0,0,0,0,2,16,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,5,1,0
2656144900113100206,20240328,2010.608765,8432.353382,1287.901546,MV_ex_Shox2,4.0,excitatory,18.0,male,M1,1,0328_M1_C,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,9,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,4,0,0
2656144900246100036,20240328,1084.039063,9289.294396,2451.966251,MV_ex_Shox2,4.0,excitatory,18.0,male,M1,1,0328_M1_C,4,0,0,0,1,0,1,0,0,6,0,0,0,0,5,3,0,0,3,0,31,0,1,0,0,7,0,0,1,0,1,0,0,1,1,2,0,0,0,0,0,0,3,0,1
2656144900351100279,20240328,2983.006104,9703.984729,3753.083744,MV_ex_Shox2,4.0,excitatory,18.0,male,M1,4,0328_M1_T,0,2,0,3,0,0,2,0,0,2,0,0,1,3,1,0,1,0,1,0,1,0,0,0,0,3,2,0,0,0,1,0,1,1,0,0,1,0,0,2,2,0,1,0,0
2656144900448100013,20240328,814.2695313,7607.407093,4672.920879,MV_ex_Shox2,4.0,excitatory,18.0,male,M2,4,0328_M2_T,0,3,0,0,0,0,2,1,0,1,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2656144900536100146,20240328,1768.558228,10486.11578,5758.644254,MV_ex_Shox2,4.0,excitatory,18.0,male,M1,2,0328_M1_L,1,1,0,2,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,2,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0
2707604000153100049,20240415,1612.114136,5407.602553,10209.54045,MV_ex_Shox2,4.0,excitatory,18.0,male,M3,4,0415_M3_T,1,1,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,2,0,0,1,1,0,0,0,0
2707604700067100194,20240415,1967.482056,7248.525789,5916.494284,MV_ex_Shox2,4.0,excitatory,18.0,male,M3,3,0415_M3_S,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,1,1,0,0,0,2,0,2,0,1,1,2,1,0,0,0,0,1,0,1,1,0,1,0,0
2707604800013100183,20240415,1963.133423,3850.685603,3213.755235,MV_ex_Shox2,4.0,excitatory,18.0,male,M1,3,0415_M1_S,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
