Unnamed: 0,Datasets,volume,center_x,center_y,MERFISH_cell_type_annotation,Region,Excitatory_vs_Inhibitory,Segment,Gender,Mouse_ID,AP_position,Section_ID,Pmfbp1,Sema7a,Bdnf,Cck,Sema3a,Sema3g,Adcyap1r1,Gabrb3,Pcdhb21,Lhx9,Ntrk3,Pomc,Htr4,Grik1,Spr,Npb,Prox1,Cyp27a1,Sst,Mc5r,Pcdhgb2,Dpy19l1,Pax6,Apela,Pcdha1,Agtr1b,Sstr2,Adra1b,Adora2b,Dlk1,Pax2,Dach2,Crhr1,Tfap2b,Calcb,Sema6d,Gabrg3,Poln,Chrnb2,Cdh19,Pcdhb9,Erbb2,Gpc3,Pmp22,Onecut2,Pth1r,Penk,Pcdhb12,Rorb,Pnmt,Esrrg,Aif1,Ccn2,Sema6c,Pcdha7,Pvalb,Met,Sema4d,Htr2a,Pcdhgb5,Uts2r,Pcdhb16,Bnc2,Pcdhga11,P2ry1,Chrna2,Pcdhb18,Farp2,Rnf220,Pcdhga12,Dbh,Prkcg,Vgf,Plxna1,Pcdhb19,Notch2,P2rx7,Pcdhga9,Pcdhb3,Gabra1,Gabrq,Adamts2,Trem2,Hrh2,P2rx6,Sema5b,Pcdha11,Calcrl,Nrp1,Gad2,Slc6a4,Pcdhgb4,Sema4c,Ramp2,Htr1f,Plxnb2,Pdzrn3,Plxnc1,Pcdhb11,Pcdhgc5,Jag2,Ptgds,Mc4r,Gabrg2,Pcdhga10,Dll1,Tnr,Pts,Cckar,Pcdhga6,Sstr3,Grid1,Tac4,Grik5,Plxnb1,Calb1,Fosb,P2rx3,Grik3,Zfhx3,Chat,Oprm1,Chrm3,Pkd2l1,Hrh1,Chrna7
2656143800053100151,20240328,2242.480957,2044.691729,3051.236764,MV_in_Gm26673,4.0,inhibitory,19.0,male,M3,1,0328_M3_C,0,2,0,0,0,0,1,0,0,0,9,0,0,2,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,3,4,0,0,0,0,2,0,0,4,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,3,0,0,0,1,0,1,1,1,0,0,0,0,7,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,4,0,1,0,0,0,0,0,0,1,1,0,5,0,0,0,1,4,2,1,1,0,0,0,2
2656143800054100226,20240328,2246.225098,2222.44191,3138.242642,MV_in_Chrna2,4.0,inhibitory,19.0,male,M3,1,0328_M3_C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2656143800129100051,20240328,571.348999,2177.953772,3779.875612,MV_in_Gm26673,4.0,inhibitory,19.0,male,M3,1,0328_M3_C,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2656143800215100150,20240328,1155.682007,5286.696558,4718.680677,MV_in_Gm26673,4.0,inhibitory,19.0,male,M3,4,0328_M3_T,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2656143800368100172,20240328,3851.981689,6008.170692,6534.434836,MV_in_Gm26673,4.0,inhibitory,19.0,male,M3,2,0328_M3_L,0,4,0,0,0,1,1,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,2,0,0,3,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0
2656143800392100044,20240328,1183.077148,5761.613459,6590.924623,MV_in_Chrna2,4.0,inhibitory,19.0,male,M3,2,0328_M3_L,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2656144300149100130,20240328,4076.036621,11007.80477,12010.35157,MV_in_Gm26673,4.0,inhibitory,19.0,female,F2,4,0328_F2_T,0,1,0,0,0,0,1,1,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,2,0,0,0,0,1,0,1,1,0,0,0,0,0,2,0,3,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,0,0,0,1
2656144900085100254,20240328,2816.185791,8020.62424,997.0203693,MV_in_Gm26673,4.0,inhibitory,19.0,male,M1,1,0328_M1_C,0,4,0,0,0,1,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,37,0,0,0,0,0,0,0,0,0,0,0,0,8,1,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2656144900111100104,20240328,1653.64978,8031.448453,1095.782521,MV_in_Chrna2,4.0,inhibitory,19.0,male,M1,1,0328_M1_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2656144900351100023,20240328,2488.756348,9479.244961,3552.97999,MV_in_Gm26673,4.0,inhibitory,19.0,male,M1,4,0328_M1_T,1,1,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,18,0,0,0,0,1,0,0,0,0,0,0,1,4,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,1,0,0,1,0,0,0,0
2656144900421100259,20240328,1863.676025,7446.463692,4621.344135,MV_in_Gm26673,4.0,inhibitory,19.0,male,M2,4,0328_M2_T,2,2,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,1,1,0,1,15,0,0,0,0,0,0,1,0,0,0,0,0,8,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0
2656144900530100243,20240328,3612.788818,8684.613617,5784.258693,MV_in_Gm26673,4.0,inhibitory,19.0,male,M2,2,0328_M2_L,0,3,0,0,1,1,3,1,1,0,4,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,3,0,0,2,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,18,0,0,0,0,0,1,1,0,0,0,2,0,5,1,0,0,32,2,0,0,3,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,2,3,1,1,2,0,0,3,0,0,0,0,0,2
2656144900558100177,20240328,863.7911377,9379.41285,6012.843455,MV_in_Gm26673,4.0,inhibitory,19.0,male,M2,2,0328_M2_L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2656144900562100256,20240328,1958.821899,10362.46666,6040.692736,MV_in_Gm26673,4.0,inhibitory,19.0,male,M1,2,0328_M1_L,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,7,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,0,1,0,0
2656144900565100150,20240328,3918.211182,11248.40416,6051.291029,MV_in_Gm26673,4.0,inhibitory,19.0,male,M1,2,0328_M1_L,0,6,0,0,0,0,1,0,0,1,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,6,0,0,0,0,23,0,0,0,0,0,2,0,2,0,0,0,0,7,0,0,0,2,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,1,0,1,0,0,1
2656144900617100113,20240328,2351.979004,11150.10647,6535.181022,MV_in_Gm26673,4.0,inhibitory,19.0,male,M1,2,0328_M1_L,0,2,0,0,0,0,2,1,0,0,1,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,2,0,0,0,0,0,2,0,0,0,4,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,5,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,1,1,0,0,0,0,0,2,0,1,0,0,0,1
2707604000084100031,20240415,2142.202148,7026.959857,8781.250855,MV_in_Gm26673,4.0,inhibitory,19.0,male,M3,2,0415_M3_L,0,8,0,0,0,0,3,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,16,2,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,3,0,0,0,4,0,0,1,0,3,1,0,0,1,0,1,0,0,0,0,0,0,10,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,3,0,0,1,0,0,1,1,0,0,2,0,0
2707604700082100036,20240415,1972.176147,4648.082629,6025.578217,MV_in_Gm26673,4.0,inhibitory,19.0,male,M2,2,0415_M2_L,0,3,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,1,0,0,0,0,2,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0
2707604700223100124,20240415,3612.541748,3858.058657,7845.661014,MV_in_Gm26673,4.0,inhibitory,19.0,male,M2,4,0415_M2_T,1,3,1,1,0,0,3,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5,0,0,0,1,1,0,0,3,1,0,1,0,0,0,0,1,0,0,0,5,0,0,1,1,22,0,0,0,1,1,1,1,0,0,1,0,1,9,0,0,0,2,3,0,0,1,0,0,0,1,0,0,1,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,3,0,0,0,0,3,1,2,0,0,0,0,1,2,0,0,0,1,0,0
2707604700317100153,20240415,6564.148438,3404.236306,8985.696948,MV_in_Gm26673,4.0,inhibitory,19.0,male,M2,1,0415_M2_C,0,5,0,0,0,0,4,0,0,0,8,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,0,0,0,0,0,1,0,1,0,0,2,2,0,7,0,0,0,3,0,1,0,0,1,1,1,0,0,0,0,2,0,1,0,0,1,14,0,0,1,0,2,1,1,1,0,0,1,0,1,0,0,6,8,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,1,0,0,0,9,0,5,0,0,0,0,0,1,0,0,1,0,0,2
2707604700341100104,20240415,4170.88916,3382.040399,9168.761545,MV_in_Gm26673,4.0,inhibitory,19.0,male,M2,1,0415_M2_C,0,5,0,0,0,0,2,0,0,0,2,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,4,0,3,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,9,0,0,1,0,3,1,2,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,3,0,1,0,0,11,0,7,1,0,0,0,1,1,0,0,0,2,0,0
2707604700342100017,20240415,4059.888672,3617.233265,9076.637398,MV_in_Gm26673,4.0,inhibitory,19.0,male,M2,1,0415_M2_C,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,5,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,1,2,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,5,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0
2707604700342100104,20240415,4776.098145,3507.050821,9167.19342,MV_in_Chrna2,4.0,inhibitory,19.0,male,M2,1,0415_M2_C,1,4,0,0,0,0,2,0,0,0,2,0,0,1,1,0,0,3,0,0,0,0,0,0,0,0,1,0,0,3,5,0,1,0,0,2,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,1,0,0,4,0,2,1,0,0,0,0,0,0,1,0,0,0,0
