Unnamed: 0,Datasets,volume,center_x,center_y,MERFISH_cell_type_annotation,Region,Excitatory_vs_Inhibitory,Segment,Gender,Mouse_ID,AP_position,Section_ID,Sema7a,Bdnf,Cck,Adcyap1r1,Gabrb3,Pcdhb21,Lhx9,Ntrk3,Grik1,Nrgn,Spr,Prox1,Sst,Pcdhgb2,Dpy19l1,Pax6,Sstr2,Dlk1,Pax2,Crhr1,Ctss,Sema6d,Gabrg3,Chrnb2,Cdh19,Pcdhb9,Gpc3,Pmp22,Penk,Rorb,Esrrg,Sema6c,Pcdha7,Pvalb,Sema4d,Pcdhgb5,Pcdhb16,Bnc2,Pcdhga11,P2ry1,Farp2,Rnf220,Pcdhga12,Qrfpr,Prkcg,Vgf,Plxna1,Pcdhb19,Notch2,P2rx7,Adra2a,Pcdhga8,Pcdhga9,Col23a1,Gabra1,Gabrq,Adamts2,Sema5b,Pcdha11,Pdyn,Calcrl,Nrp1,Gad2,Pcdhgb4,Sema4c,Ramp2,Plxnb2,Pdzrn3,Plxnc1,Pcdhb11,Pcdhgc5,Jag2,Ptgds,Mc4r,Gabrg2,Pcdhga10,Tnr,Pts,Pcdhga6,Sstr3,Grid1,Grik5,Plxnb1,Calb1,Npas4,Fosb,Grik3,Zfhx3,Chrm4,Pkd2l1,Chrna7
2656143800003100156,20240328,1772.63501,1796.594826,2559.613666,DH_in_Pdyn,1.0,inhibitory,2.0,male,M3,1,0328_M3_C,0,0,0,1,0,0,0,0,2,2,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2656143800028100075,20240328,1156.882202,1968.94943,2682.602307,DH_ex_Gpr83,1.0,excitatory,2.0,male,M3,1,0328_M3_C,0,0,0,1,0,0,0,1,0,0,0,0,4,0,0,0,0,13,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0
2656143800052100267,20240328,2585.224121,1558.735803,3101.225355,DH_in_Pdyn,1.0,inhibitory,2.0,male,M3,1,0328_M3_C,0,0,0,1,0,0,0,0,1,4,0,0,2,0,1,0,4,2,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,1,0,0,0,0,0,0,0,4,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,1,0,0,0,0
2656143800052100293,20240328,2716.275879,1598.819179,3121.457842,DH_ex_Gpr83,1.0,excitatory,2.0,male,M3,1,0328_M3_C,1,0,0,1,0,0,0,0,0,3,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,9,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,1,0,2,0,0,0,0
2656143800152100050,20240328,2389.928467,1695.182071,4105.415047,DH_in_Pdyn,1.0,inhibitory,2.0,male,M3,1,0328_M3_C,0,0,0,1,0,0,0,2,0,3,0,0,0,0,0,0,0,2,0,0,0,5,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
2656143800153100207,20240328,1752.243042,1813.56368,4228.596712,DH_ex_Gpr83,1.0,excitatory,2.0,male,M3,1,0328_M3_C,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0
2656143800242100162,20240328,1118.27478,5792.128377,5124.281814,DH_ex_Gpr83,1.0,excitatory,2.0,male,M3,4,0328_M3_T,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2656144300102100126,20240328,2613.023438,10689.55941,11508.7699,DH_in_Pdyn,1.0,inhibitory,2.0,female,F2,4,0328_F2_T,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,1,4,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2656144300102100167,20240328,1729.448853,10871.51198,11536.93182,DH_in_Pdyn,1.0,inhibitory,2.0,female,F2,4,0328_F2_T,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
2656144300141100022,20240328,1594.771729,8668.574508,12013.56759,DH_ex_Gpr83,1.0,excitatory,2.0,female,F2,2,0328_F2_L,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
