Unnamed: 0,Datasets,volume,center_x,center_y,MERFISH_cell_type_annotation,Region,Excitatory_vs_Inhibitory,Segment,Gender,Mouse_ID,AP_position,Section_ID,Sema7a,Cck,Adcyap1r1,Gabrb3,Ntrk3,Grik1,Spr,Prox1,Cyp27a1,Sst,Dpy19l1,Sstr2,Shox2,Adra1b,Dlk1,Pax2,Crhr1,Sema6d,Chrnb2,Cdh19,Pmp22,Onecut2,Penk,Rorb,Esrrg,Ccn2,Sema6c,Pvalb,Sema4d,Pcdhb16,Bnc2,Farp2,Rnf220,Prkcg,Vgf,Plxna1,Pcdhb19,Notch2,P2rx7,Gabra1,Gabrq,Adamts2,Hrh2,P2rx6,Sema5b,Gad2,Pcdhgb4,Sema4c,Ramp2,Plxnb2,Plxnc1,Jag2,Ptgds,Gabrg2,Tnr,Sstr3,Grid1,Grik5,Plxnb1,P2rx3,Grik3,Zfhx3,Chat,Oprm1,Chrm3,Pkd2l1,Hrh1,Chrna7
2656143800054100051,20240328,898.9060059,2165.66696,2928.638147,M_ex_Vsx2/Shox2,3.0,excitatory,20.0,male,M3,1,0328_M3_C,0,0,0,0,0,0,0,1,1,0,0,0,2,0,4,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,2,0,0,1,0,0,0,1,0,0,0
2656143800130100179,20240328,1841.714478,2527.983389,3974.489999,M_ex_Vsx2/Shox2,3.0,excitatory,20.0,male,M3,1,0328_M3_C,3,0,2,0,1,1,1,0,0,0,1,0,3,0,0,0,0,2,2,0,0,1,0,0,0,0,0,7,0,1,0,0,4,0,0,2,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,2,1,3,0,0,0,1,0,0,0,1,0,0
2656143800367100223,20240328,1581.149048,5753.047745,6519.928916,visceral_motoneuron,,,20.0,male,M3,2,0328_M3_L,0,0,3,1,1,1,1,1,0,0,0,0,0,0,0,0,0,2,4,0,0,0,1,0,2,0,1,3,2,1,0,0,2,0,2,2,0,0,0,0,0,3,0,0,1,1,0,0,1,0,1,0,1,0,4,0,2,3,0,0,0,0,7,0,0,0,0,0
2656144300149100040,20240328,2035.632324,10950.56989,11894.51879,visceral_motoneuron,,,20.0,female,F2,4,0328_F2_T,0,0,1,1,1,0,0,0,0,0,0,0,1,1,9,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,4,0,0,0,0,0,1,0,1,0,1,0,0,0,0,2,3,0,0,0,0,6,0,0,0,1,0
2656144300187100018,20240328,2819.634033,8870.192275,12425.77746,M_ex_Vsx2,3.0,excitatory,20.0,female,F2,2,0328_F2_L,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,7,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,2
2656144300188100154,20240328,3346.335449,9116.322497,12572.77863,M_ex_Vsx2,3.0,excitatory,20.0,female,F2,2,0328_F2_L,1,0,4,0,5,1,1,0,0,33,0,0,1,0,22,0,0,0,2,0,0,0,0,1,2,0,0,2,1,0,0,0,2,0,1,0,0,0,1,1,0,0,0,0,1,2,1,0,0,0,0,0,0,0,1,0,0,4,1,0,0,0,0,0,0,0,0,2
2656144900166100142,20240328,715.3499146,8859.786992,1740.273288,M_ex_Vsx2,3.0,excitatory,20.0,male,M1,1,0328_M1_C,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2656144900185100154,20240328,1350.770996,6643.775425,2124.013287,M_ex_Vsx2/Shox2,3.0,excitatory,20.0,male,M2,1,0328_M2_C,3,0,1,0,1,0,0,0,0,0,0,0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2656144900237100080,20240328,673.083313,6795.4365,2503.308915,M_ex_Vsx2/Shox2,3.0,excitatory,20.0,male,M2,1,0328_M2_C,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2656144900325100207,20240328,2463.979004,9478.121766,3476.582409,visceral_motoneuron,,,20.0,male,M1,4,0328_M1_T,2,0,6,1,0,5,0,0,0,0,0,0,0,0,2,0,0,5,3,0,0,0,6,0,0,0,0,0,1,1,0,1,6,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,2,2,1,0,1,0,3,5,0,0,0,3,8,0,0,0,0,0
