Unnamed: 0,Datasets,volume,center_x,center_y,MERFISH_cell_type_annotation,Region,Excitatory_vs_Inhibitory,Segment,Gender,Mouse_ID,AP_position,Section_ID,Sema7a,Bdnf,Cck,Adcyap1r1,Gabrb3,Lhx9,Ntrk3,Pomc,Grik1,Nrgn,Sst,Pcdhgb2,Dpy19l1,Sstr2,Dlk1,Pax2,Crhr1,Ctss,Sema6d,Gabrg3,Chrnb2,Gpc3,Pmp22,Penk,Rorb,Esrrg,Sema6c,Pcdha7,Pvalb,Sema4d,Pcdhgb5,Pcdhb16,Bnc2,Pcdhga11,Rxfp3,Farp2,Rnf220,Pcdhga12,Prkcg,Vgf,Plxna1,Notch2,Adra2a,Pcdhga8,Pcdhga9,Col23a1,Gabrq,Pcdha11,Pdyn,Fbn2,Nrp1,Gad2,Pcdhgb4,Sema4c,Plxnb2,Pdzrn3,Adcyap1,Plxnc1,Pcdhb11,Pcdhgc5,Jag2,Ptgds,Gabrg2,Pcdhga10,Tnr,Grid1,Grik5,Plxnb1,Calb1,Grik3,Zfhx3,Oprm1,Chrm3,Chrm4,Pkd2l1,Hrh1
2656143800127100130,20240328,1558.734375,1696.064298,4001.614249,DH_ex_Reln/Nmur2,1.0,excitatory,3.0,male,M3,1,0328_M3_C,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
2656143800179100128,20240328,1717.267944,2111.110767,4482.457627,DH_ex_Reln/Nmur2,1.0,excitatory,3.0,male,M3,1,0328_M3_C,0,0,1,0,0,0,0,0,0,1,3,0,1,0,0,0,0,0,4,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,3,0,0,0,0,0,1,0,1,0,0
2656143800179100164,20240328,2013.085693,2093.252642,4525.213953,DH_ex_Cpne4,1.0,excitatory,3.0,male,M3,1,0328_M3_C,0,0,1,0,1,0,3,0,0,3,0,0,0,0,19,1,1,0,3,2,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0
2656143800415100018,20240328,2348.896484,5397.451957,6848.953994,DH_ex_Reln/Nmur2,1.0,excitatory,3.0,male,M3,2,0328_M3_L,0,0,0,0,0,1,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2656143800416100329,20240328,2007.943237,5525.073483,7088.398724,DH_ex_Reln/Nmur2,1.0,excitatory,3.0,male,M3,2,0328_M3_L,0,0,0,0,2,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0
2656143800468100060,20240328,2263.187988,6262.274803,7434.797976,DH_ex_Reln/Nmur2,1.0,excitatory,3.0,male,M3,2,0328_M3_L,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2656144300102100095,20240328,2084.213623,10826.80425,11490.09908,DH_ex_Reln/Nmur2,1.0,excitatory,3.0,female,F2,4,0328_F2_T,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0
2656144300163100179,20240328,1625.368164,8462.994708,12301.08496,DH_ex_Reln/Nmur2,1.0,excitatory,3.0,female,F2,2,0328_F2_L,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0
2656144900085100059,20240328,1483.9021,7779.90389,781.8150082,DH_ex_Reln/Nmur2,1.0,excitatory,3.0,male,M1,1,0328_M1_C,0,1,0,2,0,0,1,1,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,2,0,2,0,0,0,0,0,2,0,0
2656144900403100060,20240328,1151.616211,9712.098149,4141.512802,DH_ex_Reln/Nmur2,1.0,excitatory,3.0,male,M1,4,0328_M1_T,0,0,1,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
