Unnamed: 0,Datasets,volume,center_x,center_y,MERFISH_cell_type_annotation,Region,Excitatory_vs_Inhibitory,Segment,Gender,Mouse_ID,AP_position,Section_ID,Sema7a,Cck,Adcyap1r1,Drd5,Gabrb3,Ntrk3,Grik1,Nrgn,Spr,Sst,Pcdhgb2,Dpy19l1,Sstr2,Adra1b,Dlk1,Pax2,Crhr1,Sema6d,Gabrg3,Chrnb2,Gpc3,Penk,Rorb,Esrrg,Sema6c,Npffr2,Pvalb,Sema4d,Htr2a,Pcdhgb5,Uts2r,Pcdhb16,Bnc2,Pcdhga11,Farp2,Rnf220,Pcdhga12,Qrfpr,Prkcg,Vgf,Plxna1,Pcdhb19,Notch2,P2rx7,Pcdhga9,Gabra1,Gabrq,Sema5b,Pdyn,Nrp1,Gad2,Pcdhgb4,Sema4c,Plxnb2,Plxnc1,Pcdhb11,Pcdhgc5,Jag2,Ptgds,Tnr,Sstr3,Grid1,Grik5,Fosb,Grik3,Zfhx3,Chrm3,Chrm4,Chrna7
2656143800052100323,20240328,1056.41394,1601.439074,3143.361761,DH_in_Npy,1.0,inhibitory,4.0,male,M3,1,0328_M3_C,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2656143800078100083,20240328,1344.826172,1979.644644,3257.241753,DH_in_Npy,1.0,inhibitory,4.0,male,M3,1,0328_M3_C,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,12,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,3,1,0,0,1,0,3,0,0,0,0
2656143800153100293,20240328,1176.28833,1822.179061,4288.781613,DH_in_Npy,1.0,inhibitory,4.0,male,M3,1,0328_M3_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2656143800214100013,20240328,3490.417725,4926.684028,4714.144606,DH_in_Npy,1.0,inhibitory,4.0,male,M3,4,0328_M3_T,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,16,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,3,1,1,2,0,0,0
2656144900314100181,20240328,1045.241455,6609.712355,3435.143876,DH_in_Npy,1.0,inhibitory,4.0,male,M2,1,0328_M2_C,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0
2656144900395100204,20240328,772.4660645,7333.314501,4391.112382,DH_in_Npy,1.0,inhibitory,4.0,male,M2,4,0328_M2_T,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2656144900421100049,20240328,3388.291992,7253.60925,4420.56466,DH_in_Cdh3,1.0,inhibitory,4.0,male,M2,4,0328_M2_T,2,0,1,0,2,4,0,1,0,0,0,0,0,0,0,0,0,3,0,3,0,2,2,1,0,0,1,0,1,0,0,0,0,1,0,8,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,2,1,1,0,0,1,0,0
2656144900446100022,20240328,1171.924927,7164.47855,4687.917137,DH_in_Npy,1.0,inhibitory,4.0,male,M2,4,0328_M2_T,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,2,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
2707604000086100185,20240415,667.6845703,7729.982176,8940.368835,DH_in_Npy,1.0,inhibitory,4.0,male,M3,2,0415_M3_L,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2707604000155100045,20240415,3493.332031,5854.948714,10210.37852,DH_in_Npy,1.0,inhibitory,4.0,male,M3,4,0415_M3_T,2,1,9,1,0,2,0,4,0,1,0,1,3,0,1,2,0,2,0,2,0,6,2,0,0,0,0,0,0,0,0,0,1,0,0,7,0,0,1,5,2,0,0,0,1,1,0,3,0,1,2,1,1,0,1,0,2,0,0,3,3,2,3,0,0,0,0,0,0
2707604000155100066,20240415,584.3920288,5823.17084,10236.35646,DH_in_Npy,1.0,inhibitory,4.0,male,M3,4,0415_M3_T,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,7,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0
2707604700092100290,20240415,2734.042725,7499.295332,6251.182494,DH_in_Npy,1.0,inhibitory,4.0,male,M3,3,0415_M3_S,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0
2707604700250100107,20240415,866.050415,4802.840733,8047.749468,DH_in_Npy,1.0,inhibitory,4.0,male,M2,4,0415_M2_T,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,3,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2707604700250100283,20240415,1894.163452,4742.342269,8202.636382,DH_in_Npy,1.0,inhibitory,4.0,male,M2,4,0415_M2_T,0,0,3,0,0,1,0,1,0,1,0,0,1,1,0,3,0,4,0,5,0,1,0,1,1,2,0,0,0,0,0,0,0,1,0,2,0,0,1,1,1,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,2,0,0,0,1,0,2,3,0,0,1
2707604700270100082,20240415,2129.664551,3729.990935,8347.140969,DH_in_Npy,1.0,inhibitory,4.0,male,M2,4,0415_M2_T,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,2,0,1,20,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,1,0,0,0,0,3,0,1,4,0,0,1
2707604700388100220,20240415,2351.998291,3033.938215,9897.882949,DH_in_Npy,1.0,inhibitory,4.0,male,M2,1,0415_M2_C,0,1,0,0,0,0,0,5,0,1,0,0,0,2,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,2,0,0,0,0,0,0,0
2707604800082100233,20240415,1775.976807,5454.039489,4009.356415,DH_in_Npy,1.0,inhibitory,4.0,male,M1,2,0415_M1_L,2,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,1,5,0,1,0,0,4,1,1,0,3,0,0,0,0,1,0,1,0,6,0,0,0,8,1,0,0,1,0,0,1,0,0,2,2,1,0,0,0,0,0,0,0,2,0,0,2,0,2,0,0,0,0
2707604800083100021,20240415,2701.110352,5547.523838,3843.543786,DH_in_Npy,1.0,inhibitory,4.0,male,M1,2,0415_M1_L,0,0,1,2,1,0,0,0,0,1,0,0,0,0,1,5,0,6,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,5,0,0,1,28,1,1,0,0,0,0,0,2,0,0,2,0,0,0,3,0,0,2,1,1,0,1,1,0,2,6,0,0,0
2707604800364100115,20240415,2691.334473,1957.524964,7817.34375,DH_in_Npy,1.0,inhibitory,4.0,male,M1,1,0415_M1_C,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0
2707604800384100097,20240415,1825.172729,1925.353956,8069.230254,DH_in_Npy,1.0,inhibitory,4.0,male,M1,1,0415_M1_C,0,0,0,0,0,2,0,2,1,2,0,0,0,0,0,1,0,1,0,0,0,2,1,1,0,0,1,0,0,1,0,0,0,0,0,5,0,0,0,11,1,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,2,1,1,2,3,0,1,0,0,0,0
2707604800425100153,20240415,3087.397461,1482.31318,8714.040966,DH_in_Npy,1.0,inhibitory,4.0,male,M1,1,0415_M1_C,0,0,0,0,0,0,0,2,0,14,0,4,0,0,1,2,1,1,0,0,1,2,2,0,0,0,0,0,0,0,0,1,1,1,0,3,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,10,1,0,0,2,0,2,0,0,0,0
2707737900102100032,20240415,1190.209595,11311.76715,9769.60407,DH_in_Npy,1.0,inhibitory,4.0,female,F1,2,0415_F1_L,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,3,0,2,1,0,1,0
2787445900097100208,20240503,1674.76709,6663.837401,663.2219628,DH_in_Cdh3,1.0,inhibitory,4.0,female,F5,1,0503_F5_C,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,8,0,1,0,0,2,0,0,0,2,0,1,0,0,0,0,0,0,3,0,0,0,25,2,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,3,2,0,0,0,1,0,0
2787445900247100098,20240503,1103.527588,7172.971056,1827.983486,DH_in_Npy,1.0,inhibitory,4.0,female,F4,1,0503_F4_C,1,0,1,1,0,2,0,2,0,0,0,0,0,0,0,1,0,6,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0
2787445900301100170,20240503,3217.065186,1372.069736,2311.886466,DH_in_Npy,1.0,inhibitory,4.0,female,F5,3,0503_F5_S,0,0,3,0,1,0,0,0,1,1,1,1,0,0,2,5,0,5,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,13,0,0,1,6,2,0,1,0,0,0,0,0,0,3,9,0,0,0,4,0,2,1,0,0,0,1,3,0,1,4,0,0,2
2787445900324100241,20240503,2715.447266,7941.113578,2356.670469,DH_in_Npy,1.0,inhibitory,4.0,female,F4,1,0503_F4_C,13,0,11,0,3,1,2,0,4,0,0,1,4,0,1,6,1,5,2,14,1,1,0,9,0,0,2,0,3,0,1,1,0,0,0,37,0,0,1,123,3,0,0,1,0,6,1,0,0,2,57,0,3,0,0,0,0,2,0,2,4,9,7,4,9,3,0,1,3
2787445900352100065,20240503,2259.639648,5430.508089,2598.268912,DH_in_Npy,1.0,inhibitory,4.0,female,F4,4,0503_F4_T,0,0,3,1,2,0,0,0,0,0,0,0,0,0,11,0,0,6,0,5,0,0,0,0,0,0,0,0,0,2,0,1,4,0,2,6,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,2,0,0,1,2,0,0,0,0,0,0,2,0,3,0,0,0,0
2787445900545100071,20240503,4568.057129,7721.22531,3887.056856,DH_in_Npy,1.0,inhibitory,4.0,female,F3,1,0503_F3_C,0,2,1,0,0,2,0,3,0,1,1,0,0,0,22,6,0,7,1,3,1,4,0,0,0,0,3,1,1,0,0,0,5,3,0,5,1,3,0,0,1,0,1,0,0,0,1,0,0,1,3,0,1,0,0,0,0,0,0,1,0,1,1,1,4,1,0,1,0
2787445900582100036,20240503,3057.460938,7771.35002,4129.392565,DH_in_Npy,1.0,inhibitory,4.0,female,F3,1,0503_F3_C,1,0,4,0,0,1,0,0,0,31,0,0,0,0,1,3,0,2,0,4,0,0,3,1,0,1,1,0,0,0,0,1,0,0,1,6,0,0,0,15,1,0,1,0,0,0,0,0,0,2,2,0,0,0,1,0,0,3,1,2,0,2,2,2,2,2,1,0,0
2787445900682100173,20240503,4211.725098,4563.907679,5131.967941,DH_in_Npy,1.0,inhibitory,4.0,female,F3,2,0503_F3_L,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,3,0,8,1,4,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,7,0,0,0,44,2,1,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,2,0,0,0,3,3,0,4,6,1,0,0
2787445900804100135,20240503,2750.127197,7775.934913,5960.515487,DH_in_Cdh3,1.0,inhibitory,4.0,male,M5,1,0503_M5_C,2,0,2,0,0,2,0,7,0,5,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,4,0,1,0,0,0,0,0,0,0,0,2,1,3,0,0,1,2,0,1,0,1,0,1,0,0,0,1,0,1
2787889600193100115,20240503,2725.185791,6063.971553,7326.875793,DH_in_Npy,1.0,inhibitory,4.0,male,M5,4,0503_M5_T,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3,1,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2787889600276100061,20240503,2768.710693,9179.191791,7942.26905,DH_in_Npy,1.0,inhibitory,4.0,male,M4,1,0503_M4_C,0,0,1,0,2,0,1,0,0,8,0,1,0,0,0,1,0,4,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1
2787889600379100099,20240503,1595.275635,7788.861573,8719.702067,DH_in_Npy,1.0,inhibitory,4.0,male,M4,4,0503_M4_T,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,3,0,3,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0,0,0,20,0,0,2,0,0,0,0,0,3,0,6,0,0,0,0,0,0,2,0,0,0,0,2,0,3,2,0,0,0
