Unnamed: 0,Datasets,volume,center_x,center_y,MERFISH_cell_type_annotation,Region,Excitatory_vs_Inhibitory,Segment,Gender,Mouse_ID,AP_position,Section_ID,Sema7a,Cck,Adcyap1r1,Gabrb3,Lhx9,Ntrk3,Grik1,Nrgn,Spr,Pthlh,Sst,Dpy19l1,Nmu,Sstr2,Dlk1,Pax2,Crhr1,Ctss,Sema6d,Gabrg3,Chrnb2,Cdh19,Pcdhb9,Pmp22,Penk,Rorb,Esrrg,Sema6c,Pvalb,Sema4d,Pcdhgb5,Pcdhb16,Bnc2,Pcdhga11,Farp2,Rnf220,Pcdhga12,Qrfpr,Prkcg,Vgf,Plxna1,Notch2,Adra2a,Pcdhga8,Pcdhga9,Gabra1,Adamts2,Hrh2,Sema5b,Fbn2,Nrp1,Gad2,Pcdhgb4,Sema4c,Ramp2,Plxnb2,Pdzrn3,Adcyap1,Plxnc1,Pcdhgc5,Jag2,Ptgds,Pcdhga10,Tnr,Pcdhga6,Sstr3,Grid1,Grik5,Plxnb1,Calb1,Grik3,Zfhx3,Chrm4,Chrna7
2656143800027100046,20240328,2048.535156,1779.681243,2644.830997,DH_ex_Reln,1.0,excitatory,6.0,male,M3,1,0328_M3_C,0,1,1,0,0,0,0,0,0,1,29,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,0,0,0,4,0
2656143800052100231,20240328,1410.017456,1597.244393,3076.911886,DH_ex_Reln,1.0,excitatory,6.0,male,M3,1,0328_M3_C,0,0,0,0,0,0,2,1,0,0,11,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,1,0
2656143800153100063,20240328,2552.587646,1801.877599,4085.588489,DH_ex_Grp,1.0,excitatory,6.0,male,M3,1,0328_M3_C,0,0,1,1,0,1,1,1,1,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,6,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,3,2,0,0,0,0,0,4
2656143800418100055,20240328,2091.694092,6072.998646,6858.822632,DH_ex_Grp,1.0,excitatory,6.0,male,M3,2,0328_M3_L,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2656143800468100115,20240328,3376.803955,6004.397253,7487.901252,DH_ex_Grp,1.0,excitatory,6.0,male,M3,2,0328_M3_L,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
2656144300060100179,20240328,2649.000488,11976.68322,10982.58145,DH_ex_Grp,1.0,excitatory,6.0,female,F2,1,0328_F2_C,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2656144300102100179,20240328,2001.282837,10659.42128,11545.62148,DH_ex_Reln,1.0,excitatory,6.0,female,F2,4,0328_F2_T,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
2656144900085100209,20240328,2683.642822,7786.157303,945.1618143,DH_ex_Reln,1.0,excitatory,6.0,male,M1,1,0328_M1_C,0,0,0,1,0,1,0,0,0,0,7,0,0,0,0,0,1,0,1,0,2,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2656144900110100032,20240328,1418.239014,7719.188574,1045.700172,DH_ex_Reln,1.0,excitatory,6.0,male,M1,1,0328_M1_C,0,0,0,0,0,1,0,1,0,0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,5,0,0,0,0,0,2,0
2656144900238100093,20240328,3090.786865,6928.694899,2563.414966,DH_ex_Grp,1.0,excitatory,6.0,male,M2,1,0328_M2_C,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
