Unnamed: 0,Datasets,volume,center_x,center_y,MERFISH_cell_type_annotation,Region,Excitatory_vs_Inhibitory,Segment,Gender,Mouse_ID,AP_position,Section_ID,Sema7a,Adcyap1r1,Gabrb3,Ntrk3,Nrgn,Sst,Dpy19l1,Sstr2,Dlk1,Pax2,Htr1d,Sema6d,Gabrg3,Chrnb2,Gpc3,Penk,Rorb,Pvalb,Bnc2,Pcdhga11,Rxfp3,Rnf220,Pcdhga12,Prkcg,Vgf,Notch2,Hrh2,Nrp1,Gad2,Pcdhgb4,Plxnc1,Pcdhb11,Pcdhgc5,Jag2,Ptgds,Pcdhga10,Tnr,Grid1,Grik5,Grik3,Zfhx3,Chrm3
2707604000155100023,20240415,936.3555298,5925.200192,10180.02902,DH_in_Rorb,1.0,inhibitory,7.0,male,M3,4,0415_M3_T,0,0,0,1,2,1,1,1,1,2,0,1,0,4,0,1,0,0,0,0,2,2,1,1,0,0,1,1,1,0,0,0,0,1,1,0,0,0,4,1,0,2
2707604700070100133,20240415,2308.804443,8130.577219,5967.990916,DH_in_Rorb,1.0,inhibitory,7.0,male,M3,3,0415_M3_S,0,0,0,1,7,1,0,3,0,0,1,6,0,5,1,0,2,0,0,0,2,5,1,0,1,0,0,0,2,1,2,0,0,0,0,1,1,1,1,1,1,3
2707604700250100036,20240415,2570.804199,4881.403749,7978.047217,DH_in_Rorb,1.0,inhibitory,7.0,male,M2,4,0415_M2_T,0,0,0,1,1,0,0,1,0,0,0,3,1,0,0,0,0,1,0,0,1,2,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,1,0,1,0,0
2707604800283100110,20240415,2043.850342,2937.837164,6717.174231,DH_in_Rorb,1.0,inhibitory,7.0,male,M1,4,0415_M1_T,0,0,0,2,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
2707604800364100170,20240415,2771.59668,1949.892424,7886.762942,DH_in_Rorb,1.0,inhibitory,7.0,male,M1,1,0415_M1_C,0,3,0,1,1,2,0,0,0,0,0,4,0,0,0,0,0,1,0,0,1,4,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
2707737900063100100,20240415,2402.070557,11366.10042,9020.360799,DH_in_Rorb,1.0,inhibitory,7.0,female,F1,2,0415_F1_L,1,0,0,2,0,0,0,2,1,0,0,1,0,2,1,1,0,1,0,2,0,4,0,1,1,1,0,1,1,1,0,0,0,1,0,1,0,0,4,0,0,0
2707737900134100133,20240415,3021.889404,9563.13153,10850.64934,DH_in_Rorb,1.0,inhibitory,7.0,female,F1,4,0415_F1_T,0,2,1,0,4,1,1,6,0,2,1,10,1,4,2,4,7,0,0,0,3,8,0,4,7,0,2,0,2,2,2,0,2,0,0,3,0,0,9,7,1,1
2707737900147100271,20240415,1712.323242,9528.106985,11008.70182,DH_in_Rorb,1.0,inhibitory,7.0,female,F1,4,0415_F1_T,1,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,3,0,0,0,1,0,0,0
2726544600455100090,20240422,2839.958984,3804.189837,11269.84209,DH_in_Rorb,1.0,inhibitory,7.0,female,F1,2,0422_F1_L,0,0,0,1,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
2787445900098100150,20240503,1847.39209,6782.564935,619.8723782,DH_in_Rorb,1.0,inhibitory,7.0,female,F5,1,0503_F5_C,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,1,1,2,0,2,0,0,0,1,0,1,0,0,0,0,0,1,0,0,4,0,1,0
2787445900194100031,20240503,375.5042114,2668.086646,1413.979874,DH_in_Rorb,1.0,inhibitory,7.0,female,F5,2,0503_F5_L,0,1,0,1,1,1,0,4,0,0,0,2,0,1,0,1,0,0,0,0,0,3,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,1,2,1,0
2787445900252100213,20240503,1007.369385,8449.672737,1768.321262,DH_in_Rorb,1.0,inhibitory,7.0,female,F4,1,0503_F4_C,1,1,0,1,0,3,0,3,0,0,0,1,0,1,0,1,0,2,0,0,0,3,0,0,0,1,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0
2787445900253100102,20240503,2246.864746,8861.974399,1680.806291,DH_in_Rorb,1.0,inhibitory,7.0,female,F4,1,0503_F4_C,1,2,0,0,7,3,1,7,0,2,1,10,2,3,1,2,6,0,0,1,4,5,1,2,0,0,0,1,2,0,7,1,2,1,1,2,0,1,6,4,0,11
2787445900353100084,20240503,1750.005615,5682.393931,2640.299103,DH_in_Rorb,1.0,inhibitory,7.0,female,F4,4,0503_F4_T,0,1,0,0,3,1,1,0,0,0,0,2,4,0,1,3,5,0,2,0,1,2,1,1,0,0,1,0,2,0,4,1,1,0,0,0,0,0,2,1,1,2
2787445900550100022,20240503,436.3171692,8926.509562,3830.132979,DH_in_Rorb,1.0,inhibitory,7.0,female,F3,1,0503_F3_C,0,2,0,0,2,0,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0
