Unnamed: 0,Datasets,volume,center_x,center_y,MERFISH_cell_type_annotation,Region,Excitatory_vs_Inhibitory,Segment,Gender,Mouse_ID,AP_position,Section_ID,Sema7a,Cck,Adcyap1r1,Gabrb3,Ntrk3,Grik1,Nrgn,Sst,Dpy19l1,Nmu,Sstr2,Pax2,Htr1d,Sema6d,Gabrg3,Chrnb2,Cdh19,Pmp22,Penk,Rorb,Esrrg,Sema6c,Npffr2,Pvalb,Sema4d,Pcdhb16,Bnc2,Pcdhga11,Rnf220,Pcdhga12,Prkcg,Vgf,Plxna1,Pcdhb19,Notch2,Adra2a,Pcdhga9,Gabra1,Sema5b,Nrp1,Gad2,Pcdhgb4,Sema4c,Plxnc1,Pcdhb11,Pcdhgc5,Jag2,Ptgds,Pcdhga10,Tnr,Grid1,Grik5,Plxnb1,Grik3,Zfhx3,Chrm3
2656143800415100023,20240328,1494.118164,5411.716081,6851.722664,DH_in_Kcnip2,1.0,inhibitory,9.0,male,M3,2,0328_M3_L,0,0,1,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2656144300141100025,20240328,1395.131348,8654.646397,12016.26112,DH_in_Npy2r,1.0,inhibitory,9.0,female,F2,2,0328_F2_L,2,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
2656144900209100046,20240328,1462.211304,6267.368153,2204.975774,DH_in_Npy2r,1.0,inhibitory,9.0,male,M2,1,0328_M2_C,0,0,1,0,1,1,0,0,0,0,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0
2656144900217100140,20240328,1405.882568,8535.660338,2237.750724,DH_in_Kcnip2,1.0,inhibitory,9.0,male,M1,1,0328_M1_C,1,1,1,0,0,0,2,0,1,0,1,2,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,5,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2656144900350100059,20240328,1826.254517,9364.697552,3595.753088,DH_in_Npy2r,1.0,inhibitory,9.0,male,M1,4,0328_M1_T,1,0,2,0,0,0,0,0,0,0,1,2,0,3,0,2,0,1,0,0,1,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,2,0,0,0,0
2656144900582100180,20240328,2602.714844,8704.221157,6283.766182,DH_in_Npy2r,1.0,inhibitory,9.0,male,M2,2,0328_M2_L,0,0,0,0,0,0,0,5,1,0,0,1,0,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
2656144900582100186,20240328,1403.386719,8670.116681,6283.269939,DH_in_Npy2r,1.0,inhibitory,9.0,male,M2,2,0328_M2_L,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1
2707604000086100300,20240415,2850.253662,7629.346807,9021.643401,DH_in_Npy2r,1.0,inhibitory,9.0,male,M3,2,0415_M3_L,2,0,1,0,5,3,2,1,1,0,0,5,0,1,0,2,0,0,8,0,0,2,0,2,0,1,1,1,7,0,3,4,1,0,0,1,0,0,1,0,4,0,0,2,0,0,1,0,0,0,1,2,0,0,1,1
2707604700250100162,20240415,1561.03186,4877.985019,8109.058244,DH_in_Npy2r,1.0,inhibitory,9.0,male,M2,4,0415_M2_T,1,0,2,0,1,0,0,0,0,0,0,1,0,3,0,1,0,0,1,0,2,1,0,0,0,0,0,1,2,0,2,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,2,2,0,2,2,0,0,0,2
2707604700271200103,20240415,1996.13562,3827.489435,8382.937057,DH_in_Npy2r,1.0,inhibitory,9.0,male,M2,4,0415_M2_T,0,1,2,1,0,1,0,5,1,0,1,1,0,6,2,2,1,0,1,1,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1
2707737900007100250,20240415,3047.375977,10212.80742,8031.055462,DH_in_Kcnip2,1.0,inhibitory,9.0,female,F1,3,0415_F1_S,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,3,0,0,1,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
2787445900127100017,20240503,2416.775391,4557.854217,745.4927043,DH_in_Npy2r,1.0,inhibitory,9.0,female,F5,4,0503_F5_T,1,0,2,0,0,1,2,5,0,0,0,0,1,6,0,2,0,0,3,1,0,0,0,1,1,0,1,0,1,1,2,0,0,0,1,1,0,1,0,0,4,0,0,0,0,1,1,0,0,0,2,1,1,0,0,1
2787445900225100051,20240503,1259.248657,1052.314893,1602.768243,DH_in_Npy2r,1.0,inhibitory,9.0,female,F5,3,0503_F5_S,0,0,2,1,1,2,0,0,1,0,1,2,0,4,0,1,0,0,11,0,0,0,0,1,1,0,0,1,4,0,5,0,1,1,1,0,0,1,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,2
2787445900248100174,20240503,2340.022461,7414.295513,1826.214628,DH_in_Npy2r,1.0,inhibitory,9.0,female,F4,1,0503_F4_C,2,0,2,1,0,1,3,0,1,0,0,8,2,3,0,2,0,0,6,0,0,0,0,2,0,1,1,1,12,1,3,0,0,1,0,0,0,0,1,0,5,1,1,2,2,0,3,2,0,1,2,4,2,0,0,1
2787445900253100252,20240503,2283.717285,8761.979285,1783.301942,DH_in_Npy2r,1.0,inhibitory,9.0,female,F4,1,0503_F4_C,4,2,5,1,1,2,6,10,1,0,0,3,0,16,2,8,3,1,12,1,0,0,0,2,0,0,0,3,12,1,2,6,1,2,1,0,2,0,0,0,5,2,1,0,4,0,2,0,0,0,0,2,1,0,1,0
2787445900285100072,20240503,1751.306763,7254.129072,1899.93154,DH_in_Kcnip2,1.0,inhibitory,9.0,female,F4,1,0503_F4_C,0,0,0,0,2,1,0,0,0,0,0,0,0,2,2,1,1,0,2,0,1,1,1,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0
2787445900548100095,20240503,2128.890137,8606.091708,3933.749389,DH_in_Npy2r,1.0,inhibitory,9.0,female,F3,1,0503_F3_C,0,1,1,0,0,0,1,2,0,1,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,1,1,0,0,0,0
