,Schwann_cell,astrocyte_1,astrocyte_2,endothelial,ependymal,meninges_1,meninges_2,meninges_3,microglia,oligodendrocyte_1,oligodendrocyte_2,oligodendrocyte_precursor_cell,oligodendrocyte_progenitor_1,oligodendrocyte_progenitor_2,pericyte,peripheral_glia
Schwann_cell,0.8235294117647058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023529411764705882,0.0,0.0,0.0,0.0,0.15294117647058825
astrocyte_1,0.0,0.7658119658119659,0.08461538461538462,0.022222222222222223,0.0017094017094017094,0.0,0.0,0.0,0.002564102564102564,0.037606837606837605,0.006837606837606838,0.007692307692307693,0.0017094017094017094,0.06495726495726496,0.004273504273504274,0.0
astrocyte_2,0.0,0.15844155844155844,0.5792207792207792,0.033766233766233764,0.0,0.0025974025974025974,0.0,0.0,0.005194805194805195,0.025974025974025976,0.06493506493506493,0.015584415584415584,0.0,0.11428571428571428,0.0,0.0
endothelial,0.0,0.1032258064516129,0.017741935483870968,0.7096774193548387,0.0,0.0032258064516129032,0.0,0.0,0.0032258064516129032,0.0467741935483871,0.03225806451612903,0.004838709677419355,0.0032258064516129032,0.07580645161290323,0.0,0.0
ependymal,0.0,0.2,0.15,0.0,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
meninges_1,0.0,0.008403361344537815,0.008403361344537815,0.03361344537815126,0.0,0.6134453781512605,0.10084033613445378,0.03361344537815126,0.0,0.0,0.0,0.0,0.0,0.15966386554621848,0.04201680672268908,0.0
meninges_2,0.0,0.0,0.0,0.027777777777777776,0.0,0.4166666666666667,0.2222222222222222,0.08333333333333333,0.0,0.027777777777777776,0.0,0.0,0.0,0.18055555555555555,0.041666666666666664,0.0
meninges_3,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.42424242424242425,0.48484848484848486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
microglia,0.0,0.1,0.014285714285714285,0.014285714285714285,0.0,0.0,0.0,0.0,0.6714285714285714,0.03571428571428571,0.10714285714285714,0.0,0.0,0.05714285714285714,0.0,0.0
oligodendrocyte_1,0.0,0.10971223021582734,0.012589928057553957,0.02877697841726619,0.0,0.0,0.0,0.0,0.00539568345323741,0.3776978417266187,0.08453237410071943,0.02158273381294964,0.00539568345323741,0.35071942446043164,0.0035971223021582736,0.0
oligodendrocyte_2,0.0,0.005,0.00125,0.00375,0.0,0.0,0.0,0.0,0.00625,0.0225,0.87125,0.01125,0.00375,0.075,0.0,0.0
oligodendrocyte_precursor_cell,0.0,0.14977973568281938,0.02643171806167401,0.07048458149779736,0.0,0.0,0.0,0.0,0.022026431718061675,0.030837004405286344,0.039647577092511016,0.5022026431718062,0.11013215859030837,0.048458149779735685,0.0,0.0
oligodendrocyte_progenitor_1,0.0,0.09,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.01,0.04,0.37,0.46,0.0,0.01,0.0
oligodendrocyte_progenitor_2,0.0,0.04899930986887509,0.008971704623878536,0.016563146997929608,0.0,0.0013802622498274672,0.0,0.0,0.0,0.11663216011042098,0.12422360248447205,0.004830917874396135,0.005521048999309869,0.6728778467908902,0.0,0.0
pericyte,0.0,0.26666666666666666,0.0380952380952381,0.21904761904761905,0.0,0.0,0.0,0.0,0.01904761904761905,0.009523809523809525,0.0,0.01904761904761905,0.0,0.009523809523809525,0.41904761904761906,0.0
peripheral_glia,0.1794871794871795,0.0,0.02564102564102564,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.6410256410256411
