repeat,model,accuracy,balanced_accuracy,macro_f1
1,genes_volume,0.6841216216216216,0.5709487266553761,0.5754173951729924
1,targeted_hybrid,0.6638513513513513,0.6447141868635056,0.6372372792462031
2,genes_volume,0.668918918918919,0.6549298590234144,0.6723678166819059
2,targeted_hybrid,0.6638513513513513,0.6859877357685601,0.6940535750862136
3,genes_volume,0.6537162162162162,0.4679186357531277,0.47300291432194824
3,targeted_hybrid,0.6537162162162162,0.5193268635499123,0.53645638117367
4,genes_volume,0.6908783783783784,0.5828265012362108,0.6221245537933227
4,targeted_hybrid,0.6858108108108109,0.6174468755684727,0.6330109602169812
5,genes_volume,0.6722972972972973,0.5659041232983911,0.5910505980050669
5,targeted_hybrid,0.6706081081081081,0.6043423491985072,0.6141281937226709
6,genes_volume,0.6638513513513513,0.5207246789373935,0.5574770078190882
6,targeted_hybrid,0.6469594594594594,0.5449253852110507,0.5759963727117421
7,genes_volume,0.660472972972973,0.5338767529506858,0.5676276530392201
7,targeted_hybrid,0.6655405405405406,0.5842273022151071,0.6128675563469569
8,genes_volume,0.652027027027027,0.5235991830139076,0.5395516167617131
8,targeted_hybrid,0.6469594594594594,0.5802310990208235,0.593146333680843
9,genes_volume,0.6875,0.5739937343295867,0.5864238352226089
9,targeted_hybrid,0.6959459459459459,0.617110833483028,0.6289839125940765
10,genes_volume,0.6739864864864865,0.5871656988744821,0.6044306687334569
10,targeted_hybrid,0.6824324324324325,0.6166044108056785,0.6155378128770665
