cell_type,genes_volume,targeted_hybrid,change_vs_baseline
Schwann_cell,0.8736842105263158,0.8641975308641975,-0.009486679662118358
astrocyte_1,0.74685953559193,0.741414977244518,-0.005444558347411976
astrocyte_2,0.48717948717948717,0.58994708994709,0.10276760276760283
endothelial,0.7370184254606366,0.7370184254606366,0.0
ependymal,0.7428571428571429,0.7428571428571429,0.0
meninges_1,0.6347826086956522,0.6347826086956522,0.0
meninges_2,0.2807017543859649,0.2807017543859649,0.0
meninges_3,0.5423728813559322,0.5423728813559322,0.0
microglia,0.734375,0.734375,0.0
oligodendrocyte_1,0.2536327608982827,0.39923954372623577,0.14560678282795309
oligodendrocyte_2,0.781267846944603,0.7701657458563536,-0.011102101088249494
oligodendrocyte_precursor_cell,0.5700712589073634,0.5352112676056338,-0.034859991301729676
oligodendrocyte_progenitor_1,0.391304347826087,0.48677248677248675,0.09546813894639977
oligodendrocyte_progenitor_2,0.6898428053204353,0.6728778467908902,-0.01696495852954505
pericyte,0.5333333333333333,0.5333333333333333,0.0
peripheral_glia,0.40816326530612246,0.6493506493506493,0.2411873840445269
